geneset	gene
GS14888	224020
GS14888	235180
GS14888	210274
GS14888	277973
GS14889	11350
GS14889	110902
GS14889	11438
GS14889	110835
GS14889	11461
GS14889	11928
GS14889	11931
GS14889	12385
GS14889	268697
GS14889	12442
GS14889	12443
GS14889	12534
GS14889	12550
GS14889	12558
GS14889	13001
GS14889	13684
GS14889	14083
GS14889	14173
GS14889	14403
GS14889	232333
GS14889	14800
GS14889	14806
GS14889	14814
GS14889	14958
GS14889	15567
GS14889	15874
GS14889	16002
GS14889	16011
GS14889	16012
GS14889	16178
GS14889	16421
GS14889	16476
GS14889	16878
GS14889	17136
GS14889	18516
GS14889	18546
GS14889	18595
GS14889	19267
GS14889	19645
GS14889	19946
GS14889	19981
GS14889	20084
GS14889	20102
GS14889	20604
GS14889	20740
GS14889	20977
GS14889	21833
GS14889	22187
GS14889	22201
GS14889	22417
GS14889	22632
GS14889	104303
GS14889	11861
GS14889	15511
GS14889	11841
GS14889	12531
GS14889	22282
GS14889	12631
GS14889	12568
GS14889	12295
GS14889	12449
GS14889	18993
GS14889	12062
GS14889	100503670
GS14889	22210
GS14889	16168
GS14889	12530
GS14889	21425
GS14889	11810
GS14889	19650
GS14889	12297
GS14889	12725
GS14889	18618
GS14889	20111
GS14889	19271
GS14889	12462
GS14889	319504
GS14889	12566
GS14889	21926
GS14889	19175
GS14889	22130
GS14889	19184
GS14889	12724
GS14889	19342
GS14889	19651
GS14889	16194
GS14889	11941
GS14889	12580
GS14889	21420
GS14889	382088
GS14889	11550
GS14889	214084
GS14889	19055
GS14889	12469
GS14889	13383
GS14889	22196
GS14889	22194
GS14889	14465
GS14889	11501
GS14889	19877
GS14889	20541
GS14889	12428
GS14889	17433
GS14889	16525
GS14889	13430
GS14889	20196
GS14889	19647
GS14889	13628
GS14889	11491
GS14889	15182
GS14889	19172
GS14889	19183
GS14889	19182
GS14889	14585
GS14889	11418
GS14889	19173
GS14889	245688
GS14889	19646
GS14889	16418
GS14889	21401
GS14889	22218
GS14889	20399
GS14889	12123
GS14889	19982
GS14889	12649
GS14889	13445
GS14889	21412
GS14889	19110
GS14889	13804
GS14889	15114
GS14889	16534
GS14889	52040
GS14889	18718
GS14889	14852
GS14889	11974
GS14889	19159
GS14889	12544
GS14889	14007
GS14889	20200
GS14889	15183
GS14889	23997
GS14889	26420
GS14889	26395
GS14889	26440
GS14889	26445
GS14889	26444
GS14889	22225
GS14889	26557
GS14889	26921
GS14889	26961
GS14889	27214
GS14889	27207
GS14889	29876
GS14889	29870
GS14889	30957
GS14889	50782
GS14889	50772
GS14889	50884
GS14889	53376
GS14889	51813
GS14889	53869
GS14889	107934
GS14889	53357
GS14889	54127
GS14889	229521
GS14889	54393
GS14889	56637
GS14889	56455
GS14889	56325
GS14889	51788
GS14889	56188
GS14889	59069
GS14889	55948
GS14889	59029
GS14889	56207
GS14889	67941
GS14889	69908
GS14889	70247
GS14889	74450
GS14889	60441
GS14889	53420
GS14889	54598
GS14889	59021
GS14889	56550
GS14889	80795
GS14889	55980
GS14889	84092
GS14889	93687
GS14889	229933
GS14889	140483
GS14889	228357
GS14889	217166
GS14890	110902
GS14890	11444
GS14890	232333
GS14890	14800
GS14890	14806
GS14890	15567
GS14890	16421
GS14890	22417
GS14890	11810
GS14890	20111
GS14890	19184
GS14890	19342
GS14890	14465
GS14890	21412
GS14890	19159
GS14890	29870
GS14890	50772
GS14890	53357
GS14890	56637
GS14890	69908
GS14890	53420
GS14890	84092
GS14891	11350
GS14891	11461
GS14891	268697
GS14891	12442
GS14891	12443
GS14891	12534
GS14891	12558
GS14891	14173
GS14891	14403
GS14891	14800
GS14891	14806
GS14891	14814
GS14891	17136
GS14891	19645
GS14891	20977
GS14891	21833
GS14891	12631
GS14891	12568
GS14891	18993
GS14891	12530
GS14891	19650
GS14891	319504
GS14891	12566
GS14891	19175
GS14891	12580
GS14891	20541
GS14891	13430
GS14891	19647
GS14891	19172
GS14891	14585
GS14891	11418
GS14891	19173
GS14891	245688
GS14891	19646
GS14891	22218
GS14891	20399
GS14891	12649
GS14891	13445
GS14891	14852
GS14891	14007
GS14891	26395
GS14891	26440
GS14891	26444
GS14891	22225
GS14891	27214
GS14891	29870
GS14891	30957
GS14891	51813
GS14891	53869
GS14891	59029
GS14891	56207
GS14891	56550
GS14891	229933
GS14891	140483
GS14892	11350
GS14892	12532
GS14892	18546
GS14892	12568
GS14892	18035
GS14892	11548
GS14892	19047
GS14892	11418
GS14892	245688
GS14892	13445
GS14892	14007
GS14892	26400
GS14892	50884
GS14892	66671
GS14893	11350
GS14893	11438
GS14893	11448
GS14893	11512
GS14893	11836
GS14893	12532
GS14893	13000
GS14893	13645
GS14893	14173
GS14893	14282
GS14893	14693
GS14893	14806
GS14893	14814
GS14893	16178
GS14893	16334
GS14893	16421
GS14893	16542
GS14893	17171
GS14893	109648
GS14893	18803
GS14893	18976
GS14893	19744
GS14893	20977
GS14893	104110
GS14893	21781
GS14893	16404
GS14893	12062
GS14893	110524
GS14893	13139
GS14893	12801
GS14893	13860
GS14893	11548
GS14893	20510
GS14893	16194
GS14893	11502
GS14893	11550
GS14893	13036
GS14893	13040
GS14893	19877
GS14893	11852
GS14893	12428
GS14893	11787
GS14893	11515
GS14893	14365
GS14893	268977
GS14893	13032
GS14893	19211
GS14893	18806
GS14893	19735
GS14893	18783
GS14893	19414
GS14893	19185
GS14893	19164
GS14893	14852
GS14893	20112
GS14893	23991
GS14893	26417
GS14893	26420
GS14893	26415
GS14893	26400
GS14893	26406
GS14893	26385
GS14893	26557
GS14893	26921
GS14893	27214
GS14893	224860
GS14893	51813
GS14893	51791
GS14893	54393
GS14893	56458
GS14893	66671
GS14893	75423
GS14893	53420
GS14893	56437
GS14893	226422
GS14916	11815
GS14916	14281
GS14916	14544
GS14916	19293
GS14916	22139
GS14916	19215
GS14916	20887
GS14916	19046
GS14916	11829
GS14916	19357
GS14916	19734
GS14916	19736
GS14916	19419
GS14916	20393
GS14916	15525
GS14916	19017
GS14916	224997
GS14916	15228
GS14916	30878
GS14916	50876
GS14916	68219
GS14916	73040
GS14916	77113
GS14916	227696
GS14917	11815
GS14917	22139
GS14917	19215
GS14917	19046
GS14917	20393
GS14917	50876
GS14918	11815
GS14918	22139
GS14918	19215
GS14918	19046
GS14918	20393
GS14918	50876
GS14919	11829
GS14919	19736
GS14919	30878
GS14919	56209
GS14920	11829
GS14920	19736
GS14920	30878
GS14920	56209
GS225897	387188
GS225897	723839
GS225897	723913
GS225897	751547
GS225897	751555
GS225897	751524
GS225897	100316831
GS225897	100526520
GS225897	100628601
GS225897	100885827
GS225899	387178
GS225899	387216
GS225899	723814
GS225899	723907
GS225899	723839
GS225899	723929
GS225899	723900
GS225899	723913
GS225899	723870
GS225899	751524
GS225899	751546
GS225899	100526517
GS225899	100526474
GS225899	100526520
GS225900	387206
GS225900	723814
GS225900	723901
GS225900	723975
GS225900	735262
GS225900	100499529
GS225900	100885833
GS225900	102465612
GS225900	102466796
GS225900	102465602
GS225900	102466155
GS225900	102466768
GS225900	102465605
GS225900	102465558
GS225900	102465784
GS225900	102465550
GS248327	11486
GS248327	11838
GS248327	11839
GS248327	12916
GS248327	68465
GS248327	13170
GS248327	13614
GS248327	13654
GS248327	14176
GS248327	14281
GS248327	14282
GS248327	20525
GS248327	15242
GS248327	16477
GS248327	17294
GS248327	18636
GS248327	19016
GS248327	20425
GS248327	20665
GS248327	22436
GS248327	13656
GS248327	14748
GS248327	14284
GS248327	20887
GS248327	235320
GS248327	20672
GS248327	12575
GS248327	14229
GS248327	19252
GS248327	12053
GS248327	14623
GS248327	14758
GS248327	19416
GS248327	20538
GS248327	12737
GS248327	12741
GS248327	67405
GS248327	20393
GS248327	21946
GS248327	23882
GS248327	24055
GS248327	26556
GS248327	26939
GS248327	27273
GS248327	223775
GS248327	53608
GS248327	53975
GS248327	53417
GS248327	57875
GS248327	56338
GS248327	22295
GS248327	59090
GS248327	80915
GS248327	66119
GS248327	55942
GS248327	66853
GS248327	67217
GS248327	67451
GS248327	67731
GS248327	67839
GS248327	70533
GS248327	68895
GS248327	101401
GS248327	69581
GS248327	69632
GS248327	223828
GS248327	70097
GS248327	70807
GS248327	70834
GS248327	213393
GS248327	329502
GS248327	72287
GS248327	72344
GS248327	230379
GS248327	74155
GS248327	74189
GS248327	74191
GS248327	74370
GS248327	74448
GS248327	319934
GS248327	74646
GS248327	74747
GS248327	74936
GS248327	76459
GS248327	76487
GS248327	76574
GS248327	78177
GS248327	78754
GS248327	60599
GS248327	56405
GS248327	56358
GS248327	57435
GS248327	56323
GS248327	85030
GS248327	100017
GS248327	217410
GS248327	111174
GS248327	140917
GS248327	170799
GS248327	71371
GS248327	215418
GS248327	108960
GS248327	238377
GS248327	319405
GS248327	319655
GS248327	239273
GS248327	241303
GS248327	115489686
GS248327	240869
GS248327	102634835
GS248327	81879
GS248327	230162
GS248327	219134
GS248327	237465
GS248327	320844
GS248327	237625
GS248327	217837
GS248327	68119
GS248327	73649
GS248327	226115
GS248327	225872
GS248327	271005
GS248327	240672
GS248327	258456
GS248327	381924
GS248329	11486
GS248329	11838
GS248329	11839
GS248329	12916
GS248329	68465
GS248329	13170
GS248329	13614
GS248329	13654
GS248329	14176
