ENTREZ_GENE_A	ENTREZ_GENE_B
67773	74026
67773	57314
56289	50849
18771	18515
18771	11461
18771	18432
18771	17886
18771	18514
18771	20091
5295	12387
659	67607
659	56249
659	56495
659	13016
659	13016
659	74326
659	18256
659	18751
659	18751
659	20714
659	20860
659	22154
659	14241
659	110648
659	16985
659	17451
659	55983
659	66865
659	19230
659	56187
659	22063
23054	20807
23054	20807
23054	20807
170791	23054
170791	23054
21417	13016
21417	13017
15951	672
672	15951
672	15951
23054	12355
23054	12355
90480	15370
17131	91
657	17131
17131	7046
472	11775
472	11764
472	11764
99152	16348
99152	16348
25	16451
15270	4683
15270	7158
15461	5894
17873	5111
1647	26416
1647	26416
67923	12703
25	12912
19268	12387
1499	80288
867	18708
14784	12402
472	12649
472	15270
1499	80288
18708	12402
9759	13016
268903	1487
268903	1487
21417	13017
16909	5932
11431	12387
4582	12387
17873	2099
11789	212307
11789	17829
5111	17873
5111	17873
90480	15370
17873	5111
17873	5111
14784	18708
14784	18708
1647	19013
17873	5465
1647	19015
17873	5467
1647	19016
17873	5468
12043	14083
12043	5829
12043	5829
14083	5829
17873	5914
55201	56289
1487	268903
17873	6256
53325	7157
53325	7157
15504	84092
15504	84092
58805	7529
58805	10971
58805	7534
58805	10971
58805	60491
58805	6945
8655	13435
8655	80905
8655	17909
8655	56527
8655	71774
10808	11518
10808	22201
10808	18476
10808	18655
12753	18626
12753	18627
12753	18628
12753	12952
12753	12953
11865	12753
11865	18626
11865	18627
11865	18628
11865	12952
11865	12953
18626	12753
18626	18627
18626	18628
18626	12952
18626	12953
18627	12753
18627	18626
18627	18628
18627	12952
18627	12953
12952	12753
12952	18626
12952	18627
12952	18628
12952	12953
12953	12753
12953	18626
12953	18627
12953	18628
12953	12952
56194	242687
56194	245880
56194	73178
56194	83767
24069	319191
24069	17979
24069	84505
24069	69890
24069	16854
24069	20220
24069	56469
24069	30945
24069	19664
24069	54683
24069	2735
24069	2737
24069	43767
24069	41965
41565	56469
16854	24069
16854	16854
17979	30945
17979	84505
17979	69890
17979	16854
17979	20220
17979	17979
17979	54683
17979	56469
30945	24069
30945	56469
69890	69890
69890	319191
56469	84505
56469	69890
56469	16854
56469	20220
56469	17979
56469	2735
56469	2737
56469	41565
56469	43767
56469	41965
20220	24069
20220	319191
20220	56469
24069	10284
24069	16854
26941	6550
17202	226255
245711	12576
245711	12576
25456	268566
25456	18643
3486	268977
3486	16002
22177	57781
110637	14806
110637	14807
15166	15165
23885	22088
23885	22088
23885	22088
14163	13043
14163	76507
14163	76507
14163	76507
14163	13043
9108	210376
56292	74838
29817	1280
29817	1289
29817	1282
29817	6366
29817	3627
29817	6352
110651	5595
110651	5594
78891	98376
78891	98376
98376	78891
18626	12953
12837	12837
70122	71458
26563	94275
26564	94275
15505	22142
15505	22142
22142	15505
5087	77579
8841	17344
19016	6256
19016	6256
5217	21761
5217	21761
21761	5217
21761	25942
21761	7088
2534	116870
2534	116871
2885	116870
2885	116871
4690	116870
4690	116871
116870	2534
116848	93762
116848	93762
12416	1911
12416	648
12416	6015
12416	8535
12151	1911
12151	6015
12151	8535
12151	8535
12151	57332
12151	1911
12151	80012
12151	8467
12151	22955
12151	3308
12151	6015
12151	1912
12416	1911
12416	80012
12416	8467
12416	22955
12416	8535
12416	3308
12416	6015
12416	648
12416	1912
9541	15182
15182	7068
15182	7067
17869	2648
17869	8295
13433	3065
3065	13433
13433	3065
433759	19645
19645	433759
433759	17927
433759	19697
433759	18033
19697	433759
18033	433759
83797	24516
83797	314322
83797	3726
433759	5970
3725	20587
3725	67155
16476	67155
16476	20587
14281	67155
14281	20587
83797	67155
21885	15228
7088	15228
7088	15228
7090	15228
3065	15228
6598	17869
8648	57376
57376	8648
57376	10499
57376	13982
13982	6605
8841	268903
268903	8841
268903	3065
268903	8841
19645	20586
20586	5925
5925	20586
20586	239985
239985	83797
239985	20586
93762	22385
93762	217578
22385	93762
217578	93762
217578	93761
22780	216848
22778	216848
51788	51788
51788	446588
51788	378643
3090	13016
13016	3090
3090	13016
3090	13016
10320	20467
10320	20466
10320	22780
10320	433759
17927	18519
17927	433759
17120	25942
12648	6749
1788	30928
6595	83766
6595	56456
5914	18193
7067	18193
2099	18193
20181	18193
18193	5914
18193	7067
18193	2099
18193	20181
5914	18193
7067	18193
20181	18193
2099	18193
9612	56233
9612	15184
15184	9612
9612	15184
9612	56233
56233	25942
22778	216848
22778	20586
22778	67155
22778	22780
22778	15182
22778	20588
22778	433759
22778	20586
22778	216848
60	12465
60	12469
60	15511
8904	19060
8904	105689
8904	217342
8904	19684
8904	11461
221184	19060
221184	20482
221184	71458
221184	217342
221184	19684
221184	11461
221184	108000
221184	105689
131034	105689
131034	20482
131034	53610
131034	71458
131034	266692
131034	217342
131034	19684
131034	11461
131034	20742
131034	76895
131034	108000
131034	217866
131034	54638
131034	19679
131034	382090
26395	8904
26395	131034
22192	8904
22192	131034
19060	8904
19060	131034
217866	8904
217866	131034
105689	8904
105689	131034
20482	8904
20482	131034
53610	8904
53610	131034
71458	8904
71458	131034
266692	8904
266692	131034
217342	8904
217342	131034
19684	8904
19684	131034
11461	8904
11461	131034
20742	8904
20742	131034
76895	131034
208618	131034
208618	8904
108000	8904
108000	131034
54638	8904
54638	131034
19679	8904
19679	131034
382090	131034
20847	2033
2033	20847
2033	20848
8850	18128
2648	18128
8850	18128
2648	18128
18519	18128
14534	18128
18519	31293
140629	7332
140629	7321
22195	22888
10951	20937
6839	12419
6839	12419
12419	12419
211651	55947
117197	18457
18457	117197
117197	17828
73121	55294
73121	2222
9905	67781
20924	1627
20924	29115
73710	79020
9564	22142
57062	13682
2771	22142
9500	22142
6279	22142
20924	51759
20924	2975
20924	3550
20924	56902
20924	9796
20924	5478
20924	52432
4071	22142
19241	333
19241	84966
88	22142
6136	22142
20924	57562
20924	6132
19241	1915
19241	55791
19241	7088
7158	22059
20924	51003
19241	7157
19241	9094
18171	8202
18171	2099
50848	93742
93742	50848
50848	93742
55294	18132
18132	55294
468	12608
18024	79255
79255	18024
8841	20602
9759	20602
8841	20185
2261	20399
12387	5663
18507	1616
387	19877
387	56349
387	56419
387	13367
387	16709
21942	21942
4899	56455
4899	21648
29871	13619
13619	29871
17532	4301
17532	17356
497778	19013
497778	19015
497778	19016
55927	15205
998	56349
998	56419
998	19877
856294	56349
856294	56419
856294	19877
19877	387
19877	998
56419	387
56419	998
56349	387
56349	998
20869	71728
12475	21898
100506658	21872
16975	13131
16835	13131
22359	13131
22330	71766
7414	71766
71766	60595
71766	11472
71766	230257
71766	22330
5725	71766
77945	19893
77945	77945
19893	77945
6464	17444
17444	1956
17444	6464
17444	25
17444	10657
17444	867
17444	6654
17444	16590
5045	192176
5045	192176
192176	5045
54609	16416
54609	16423
20416	2065
20619	6804
20619	2054
20619	6809
20619	6810
6804	20619
2054	20619
6809	20619
6810	20619
22687	1915
226041	13405
226041	22288
19060	996
996	19060
19060	8881
8881	19060
13016	64375
105352	5599
105352	5609
5147	56327
5147	56350
12402	16818
9368	22067
9368	22066
9368	22066
58198	15182
58198	433759
11556	6714
20209	20209
21677	22601
21678	22601
21679	22601
21676	22601
21677	17475
21677	22601
9378	269589
3915	18073
1282	18073
1277	18073
16452	9093
6416	192176
5604	192176
5605	192176
7827	54631
7827	170484
148170	235072
148170	18000
148170	56526
13405	8525
15185	7415
15185	18786
17349	192292
17349	22631
17349	192292
17349	22631
12952	1454
11666	19299
26874	11666
14784	940
17060	26411
16822	26411
4654	22160
27007	15101
64930	19684
64930	19684
64930	22350
12387	330914
12387	330914
12387	330914
330914	12387
330914	13385
330914	12558
330914	14812
13385	330914
330914	12540
330914	19353
12322	330914
