term	gene
GO:0005740	14979
GO:0005886	14979
GO:0008209	14979
GO:0008210	14979
GO:0016020	14979
GO:0005739	14979
GO:0047035	14979
GO:0005739	234309
GO:0120162	15107
GO:0005743	15107
GO:0003857	15107
GO:0005739	15107
GO:0005515	15107
GO:0050796	15107
GO:0006635	97212
GO:0032868	97212
GO:0016509	97212
GO:0005743	97212
GO:0005739	97212
GO:0005515	97212
GO:0005739	93747
GO:0106222	231086
GO:0003988	231086
GO:0003985	231086
GO:0005743	231086
GO:0005739	231086
GO:0005515	231086
GO:0010467	231086
GO:0071222	231086
GO:0005743	52538
GO:0005739	52538
GO:0007266	57874
GO:0007249	57874
GO:0005515	57874
GO:0007254	57874
GO:0005829	217698
GO:0032788	217698
GO:0005777	217698
GO:0047617	217698
GO:0006637	217698
GO:0001676	217698
GO:0000038	217698
GO:0032789	217698
GO:0005739	26897
GO:0001676	26897
GO:0047617	26897
GO:0005739	66198
GO:0035965	66198
GO:0005739	75778
GO:0005743	110446
GO:0005739	110446
GO:0003985	110446
GO:0045797	110460
GO:0005739	110460
GO:0005739	224530
GO:0005739	74147
GO:0006635	74147
GO:0005739	11409
GO:0042594	11364
GO:0007507	11364
GO:0019254	11364
GO:0070991	11364
GO:0001889	11364
GO:0005978	11364
GO:0033539	11364
GO:0009437	11364
GO:0051791	11364
GO:0009409	11364
GO:0005739	11364
GO:0009791	11364
GO:0055007	11364
GO:0006111	11364
GO:0006082	11364
GO:0005739	113868
GO:0005777	113868
GO:0004032	26876
GO:0010430	26876
GO:0003960	26876
GO:0004024	26876
GO:0006067	26876
GO:0004022	26876
GO:1901661	26876
GO:0046164	26876
GO:0006081	26876
GO:0001659	11370
GO:0045717	11370
GO:0009062	11370
GO:0033539	11370
GO:0046322	11370
GO:0005739	11370
GO:0009409	11370
GO:0090181	11370
GO:0009637	12895
GO:0005739	12895
GO:0098794	78070
GO:0030176	78070
GO:0030424	78070
GO:0030425	78070
GO:0005739	78070
GO:0032281	78070
GO:0098978	78070
GO:0005783	78070
GO:0099072	78070
GO:0005739	66885
GO:1900222	13121
GO:0050709	13121
GO:0042177	13121
GO:0043588	74754
GO:0030539	74754
GO:0016125	74754
GO:0006695	74754
GO:0031639	74754
GO:0061024	74754
GO:0009888	74754
GO:0008203	74754
GO:0008104	74754
GO:0042987	74754
GO:0035264	13360
GO:0030154	13360
GO:0030324	13360
GO:0047598	13360
GO:0001568	13360
GO:0009791	13360
GO:0016126	13360
GO:0042127	13360
GO:0050613	98386
GO:0030223	98386
GO:0006695	98386
GO:0031965	98386
GO:0005515	98386
GO:0005635	98386
GO:0016126	13595
GO:0030097	13595
GO:0000247	13595
GO:0008203	20652
GO:0004772	20652
GO:0008203	223920
GO:0016020	223920
GO:0004772	223920
GO:0004303	15490
GO:0030154	15490
GO:0000253	15490
GO:0007420	15490
GO:0048568	15490
GO:0008209	15490
GO:0006695	15490
GO:0048706	15490
GO:0005789	15490
GO:0006703	15490
GO:0005783	15490
GO:0047024	15490
GO:0007399	15490
GO:0008203	12642
GO:0001567	12642
GO:0035754	12642
GO:0008395	12642
GO:0005743	104086
GO:0005739	104086
GO:0008123	13122
GO:0006707	13122
GO:0047016	101502
GO:0035754	101502
GO:0005739	17117
GO:0007031	20280
GO:0005739	20280
GO:0005515	20280
GO:0008206	12012
GO:0016410	12012
GO:0005829	12012
GO:0016410	230161
GO:0006631	230161
GO:0005777	230161
GO:0006635	15488
GO:0005777	15488
GO:0000038	15488
GO:0005739	15488
GO:0005515	15488
GO:0060009	15488
GO:0005515	15445
GO:0006536	234724
GO:0006572	234724
GO:0005739	234724
GO:0004838	234724
