gene1	gene2	goIds1	goIds2
hsa:1548	hsa:10	['GO:0046222', 'GO:0009804', 'GO:0046226', 'GO:0042178', 'GO:0008202', 'GO:0006805', 'GO:0035634']	['GO:0001889', 'GO:0006805', 'GO:0097068']
hsa:1548	hsa:1544	['GO:0046222', 'GO:0009804', 'GO:0046226', 'GO:0042178', 'GO:0008202', 'GO:0006805', 'GO:0035634']	['GO:0006725', 'GO:0042572', 'GO:0032496', 'GO:0014070', 'GO:0050665', 'GO:0035902', 'GO:0009791', 'GO:0006706', 'GO:0009410', 'GO:0070989', 'GO:0010468', 'GO:0033197', 'GO:0010033', 'GO:0008210', 'GO:0071280', 'GO:0009820', 'GO:0009403', 'GO:0006805', 'GO:0030324', 'GO:0046222', 'GO:0042360', 'GO:0032355', 'GO:0032259', 'GO:0016098', 'GO:0071276', 'GO:0046483', 'GO:0009404', 'GO:0097267', 'GO:0045333', 'GO:1904842', 'GO:0019373', 'GO:0018894', 'GO:0018937', 'GO:0032787', 'GO:0042178', 'GO:0006778', 'GO:0042759']
hsa:1548	hsa:1549	['GO:0046222', 'GO:0009804', 'GO:0046226', 'GO:0042178', 'GO:0008202', 'GO:0006805', 'GO:0035634']	['GO:0046222', 'GO:0009804', 'GO:0046226', 'GO:0042178', 'GO:0008202', 'GO:0006805', 'GO:0035634']
hsa:1548	hsa:7498	['GO:0046222', 'GO:0009804', 'GO:0046226', 'GO:0042178', 'GO:0008202', 'GO:0006805', 'GO:0035634']	['GO:0071347', 'GO:0016226', 'GO:0032496', 'GO:1900747', 'GO:0006148', 'GO:0046059', 'GO:0046038', 'GO:2001213', 'GO:0009114', 'GO:0071356', 'GO:0097184', 'GO:0009115', 'GO:0006147', 'GO:0030856', 'GO:0010044', 'GO:0001933', 'GO:0051898', 'GO:0006149', 'GO:0006204', 'GO:0006154', 'GO:1900745', 'GO:0006919', 'GO:0045602', 'GO:0006196', 'GO:0034465', 'GO:0007595', 'GO:0042542', 'GO:0006161', 'GO:0001937', 'GO:0006157', 'GO:0000255', 'GO:0010629', 'GO:0046055', 'GO:2000379', 'GO:0043605']
hsa:1548	hsa:9	['GO:0046222', 'GO:0009804', 'GO:0046226', 'GO:0042178', 'GO:0008202', 'GO:0006805', 'GO:0035634']	['GO:0032496', 'GO:0009410', 'GO:0001666', 'GO:0048565', 'GO:0006805']
hsa:10	hsa:1548	['GO:0001889', 'GO:0006805', 'GO:0097068']	['GO:0046222', 'GO:0009804', 'GO:0046226', 'GO:0042178', 'GO:0008202', 'GO:0006805', 'GO:0035634']
hsa:10	hsa:1544	['GO:0001889', 'GO:0006805', 'GO:0097068']	['GO:0006725', 'GO:0042572', 'GO:0032496', 'GO:0014070', 'GO:0050665', 'GO:0035902', 'GO:0009791', 'GO:0006706', 'GO:0009410', 'GO:0070989', 'GO:0010468', 'GO:0033197', 'GO:0010033', 'GO:0008210', 'GO:0071280', 'GO:0009820', 'GO:0009403', 'GO:0006805', 'GO:0030324', 'GO:0046222', 'GO:0042360', 'GO:0032355', 'GO:0032259', 'GO:0016098', 'GO:0071276', 'GO:0046483', 'GO:0009404', 'GO:0097267', 'GO:0045333', 'GO:1904842', 'GO:0019373', 'GO:0018894', 'GO:0018937', 'GO:0032787', 'GO:0042178', 'GO:0006778', 'GO:0042759']
hsa:10	hsa:1549	['GO:0001889', 'GO:0006805', 'GO:0097068']	['GO:0046222', 'GO:0009804', 'GO:0046226', 'GO:0042178', 'GO:0008202', 'GO:0006805', 'GO:0035634']
hsa:10	hsa:7498	['GO:0001889', 'GO:0006805', 'GO:0097068']	['GO:0071347', 'GO:0016226', 'GO:0032496', 'GO:1900747', 'GO:0006148', 'GO:0046059', 'GO:0046038', 'GO:2001213', 'GO:0009114', 'GO:0071356', 'GO:0097184', 'GO:0009115', 'GO:0006147', 'GO:0030856', 'GO:0010044', 'GO:0001933', 'GO:0051898', 'GO:0006149', 'GO:0006204', 'GO:0006154', 'GO:1900745', 'GO:0006919', 'GO:0045602', 'GO:0006196', 'GO:0034465', 'GO:0007595', 'GO:0042542', 'GO:0006161', 'GO:0001937', 'GO:0006157', 'GO:0000255', 'GO:0010629', 'GO:0046055', 'GO:2000379', 'GO:0043605']
hsa:10	hsa:9	['GO:0001889', 'GO:0006805', 'GO:0097068']	['GO:0032496', 'GO:0009410', 'GO:0001666', 'GO:0048565', 'GO:0006805']
