gene1	gene2	goIds1	goIds2
hsa:10993	hsa:587	['GO:0006094', 'GO:0043200', 'GO:0006565', 'GO:0065003', 'GO:0042866', 'GO:0033590', 'GO:0031667']	['GO:0006550', 'GO:0006551', 'GO:0007595', 'GO:1990830', 'GO:0006549', 'GO:0009098', 'GO:0006573', 'GO:0010817', 'GO:0009083', 'GO:0009082', 'GO:0009081']
hsa:10993	hsa:586	['GO:0006094', 'GO:0043200', 'GO:0006565', 'GO:0065003', 'GO:0042866', 'GO:0033590', 'GO:0031667']	['GO:0008150', 'GO:0009083', 'GO:0000082', 'GO:0009082']
hsa:10993	hsa:113675	['GO:0006094', 'GO:0043200', 'GO:0006565', 'GO:0065003', 'GO:0042866', 'GO:0033590', 'GO:0031667']	['GO:0008150']
hsa:587	hsa:10993	['GO:0006550', 'GO:0006551', 'GO:0007595', 'GO:1990830', 'GO:0006549', 'GO:0009098', 'GO:0006573', 'GO:0010817', 'GO:0009083', 'GO:0009082', 'GO:0009081']	['GO:0006094', 'GO:0043200', 'GO:0006565', 'GO:0065003', 'GO:0042866', 'GO:0033590', 'GO:0031667']
hsa:587	hsa:586	['GO:0006550', 'GO:0006551', 'GO:0007595', 'GO:1990830', 'GO:0006549', 'GO:0009098', 'GO:0006573', 'GO:0010817', 'GO:0009083', 'GO:0009082', 'GO:0009081']	['GO:0008150', 'GO:0009083', 'GO:0000082', 'GO:0009082']
hsa:587	hsa:113675	['GO:0006550', 'GO:0006551', 'GO:0007595', 'GO:1990830', 'GO:0006549', 'GO:0009098', 'GO:0006573', 'GO:0010817', 'GO:0009083', 'GO:0009082', 'GO:0009081']	['GO:0008150']
hsa:586	hsa:10993	['GO:0008150', 'GO:0009083', 'GO:0000082', 'GO:0009082']	['GO:0006094', 'GO:0043200', 'GO:0006565', 'GO:0065003', 'GO:0042866', 'GO:0033590', 'GO:0031667']
hsa:586	hsa:587	['GO:0008150', 'GO:0009083', 'GO:0000082', 'GO:0009082']	['GO:0006550', 'GO:0006551', 'GO:0007595', 'GO:1990830', 'GO:0006549', 'GO:0009098', 'GO:0006573', 'GO:0010817', 'GO:0009083', 'GO:0009082', 'GO:0009081']
hsa:586	hsa:113675	['GO:0008150', 'GO:0009083', 'GO:0000082', 'GO:0009082']	['GO:0008150']
hsa:113675	hsa:10993	['GO:0008150']	['GO:0006094', 'GO:0043200', 'GO:0006565', 'GO:0065003', 'GO:0042866', 'GO:0033590', 'GO:0031667']
hsa:113675	hsa:587	['GO:0008150']	['GO:0006550', 'GO:0006551', 'GO:0007595', 'GO:1990830', 'GO:0006549', 'GO:0009098', 'GO:0006573', 'GO:0010817', 'GO:0009083', 'GO:0009082', 'GO:0009081']
hsa:113675	hsa:586	['GO:0008150']	['GO:0008150', 'GO:0009083', 'GO:0000082', 'GO:0009082']
