gene1	gene2	goIds1	goIds2
hsa:2960	hsa:9519	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0006235', 'GO:0007289', 'GO:0001675', 'GO:0007283']
hsa:2960	hsa:2068	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006362', 'GO:0009791', 'GO:0072332', 'GO:0001666', 'GO:0043249', 'GO:0009650', 'GO:0001701', 'GO:0060218', 'GO:0008340', 'GO:0021510', 'GO:0040016', 'GO:0000462', 'GO:0048568', 'GO:0030198', 'GO:0022405', 'GO:0048009', 'GO:0030282', 'GO:0006366', 'GO:0035315', 'GO:0006281', 'GO:0006283', 'GO:0006289', 'GO:0007059', 'GO:0048820', 'GO:0032289', 'GO:0006979', 'GO:0035264', 'GO:0043588', 'GO:0071425', 'GO:0009411', 'GO:0006915', 'GO:1901990', 'GO:0042274']
hsa:2960	hsa:6878	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0060261', 'GO:0006357', 'GO:0006367', 'GO:0042789', 'GO:0006352', 'GO:0045786', 'GO:0051123', 'GO:0006282', 'GO:0045893']
hsa:2960	hsa:2966	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0002031', 'GO:0006367', 'GO:0009411', 'GO:1905776', 'GO:0008150']
hsa:2960	hsa:6875	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0060261', 'GO:0006357', 'GO:0042789', 'GO:0051123', 'GO:2000648']
hsa:2960	hsa:54457	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0030317', 'GO:0007286', 'GO:0008150']
hsa:2960	hsa:83860	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0060261', 'GO:0006357', 'GO:0000122', 'GO:0051457', 'GO:0042789', 'GO:0043433', 'GO:0051123', 'GO:0008150']
hsa:2960	hsa:6882	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0060261', 'GO:0006367', 'GO:0042789', 'GO:0051123', 'GO:0043923', 'GO:0008150']
hsa:2960	hsa:9569	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0000122', 'GO:0014886']
hsa:2960	hsa:387332	['GO:0006366', 'GO:0008150', 'GO:0006367']	[]
hsa:2960	hsa:2963	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0006368', 'GO:0045944', 'GO:0006367']
hsa:2960	hsa:27097	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0006357', 'GO:0043484', 'GO:0006355', 'GO:0006282', 'GO:1904672', 'GO:0045893', 'GO:0008150']
hsa:2960	hsa:2967	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0008150', 'GO:0006281']
hsa:2960	hsa:129685	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0001833', 'GO:0060261', 'GO:0045598', 'GO:0051457', 'GO:0042789', 'GO:0051123', 'GO:0001112', 'GO:0008150']
hsa:2960	hsa:404672	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006362', 'GO:0006294', 'GO:0006289', 'GO:0071480', 'GO:0000462', 'GO:0008150']
hsa:2960	hsa:6879	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0006469', 'GO:0060261', 'GO:0045347', 'GO:0006357', 'GO:0000122', 'GO:0006367', 'GO:0045344', 'GO:0030520', 'GO:0042789', 'GO:0006352', 'GO:0045892', 'GO:0045944', 'GO:0051123', 'GO:0006282', 'GO:0045893', 'GO:0008150']
hsa:2960	hsa:2962	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0009615', 'GO:0006366', 'GO:0006367', 'GO:0032091', 'GO:0045944', 'GO:0006368']
hsa:2960	hsa:2958	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0060261', 'GO:0006367', 'GO:0051123', 'GO:0045944']
hsa:2960	hsa:6873	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0060261', 'GO:0014070', 'GO:0006357', 'GO:0006367', 'GO:0000086', 'GO:0042789', 'GO:0051123', 'GO:0006282', 'GO:0045893']
hsa:2960	hsa:730394	['GO:0006366', 'GO:0008150', 'GO:0006367']	[]
hsa:2960	hsa:2965	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0006281', 'GO:1990830', 'GO:0000079', 'GO:0045893']
hsa:2960	hsa:6884	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0060261', 'GO:0006367', 'GO:0042789', 'GO:0051123']
hsa:2960	hsa:902	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0050821', 'GO:0006367', 'GO:2000045', 'GO:0008150']
hsa:2960	hsa:728340	['GO:0006366', 'GO:0008150', 'GO:0006367']	[]
hsa:2960	hsa:8148	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0008380', 'GO:0048255', 'GO:0045893', 'GO:0010467']
hsa:2960	hsa:51616	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:1902166', 'GO:0014070', 'GO:0030307', 'GO:0050821', 'GO:0000122', 'GO:0043066', 'GO:0012501']
hsa:2960	hsa:2957	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0060261', 'GO:0051123', 'GO:0045944', 'GO:0008150']
hsa:2960	hsa:6883	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0006366', 'GO:0060261', 'GO:0006357', 'GO:0006367', 'GO:0042789', 'GO:0006352', 'GO:0043484', 'GO:0006355', 'GO:0045944', 'GO:0051123', 'GO:0006282', 'GO:0045893', 'GO:0008150']
hsa:2960	hsa:6881	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0010467', 'GO:0001892', 'GO:0043484', 'GO:0001701', 'GO:0060261', 'GO:0010468', 'GO:0006357', 'GO:0006367', 'GO:0006352', 'GO:1905069', 'GO:0006282', 'GO:0008150', 'GO:0006366', 'GO:0001889', 'GO:0048371', 'GO:0065003', 'GO:0001756', 'GO:0051123', 'GO:0035264', 'GO:0070365', 'GO:0036285', 'GO:0042789', 'GO:0006355', 'GO:0000082', 'GO:0006915', 'GO:0045893', 'GO:0060173']
hsa:2960	hsa:2969	['GO:0006366', 'GO:0008150', 'GO:0006367']	['GO:0016525', 'GO:0045944', 'GO:0051481']
