gene1	gene2	goIds1	goIds2
hsa:3981	hsa:27343	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0000724', 'GO:0006303', 'GO:0008150', 'GO:0006289', 'GO:0006287', 'GO:0071897']
hsa:3981	hsa:1791	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0006259', 'GO:0033198']
hsa:3981	hsa:2547	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0006302', 'GO:0000725', 'GO:0048660', 'GO:0002218', 'GO:0071475', 'GO:0033151', 'GO:0022008', 'GO:0006303', 'GO:0050769', 'GO:0000723', 'GO:0010212', 'GO:0006266', 'GO:0006974', 'GO:0097680', 'GO:0045621', 'GO:0071480', 'GO:0045860', 'GO:0071481', 'GO:0045892', 'GO:0045944', 'GO:0045893']
hsa:3981	hsa:7518	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0006302', 'GO:0043524', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0006303', 'GO:0050769', 'GO:1990166', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051402', 'GO:1905765', 'GO:0061819', 'GO:1904155', 'GO:0051351', 'GO:0010165', 'GO:0071285']
hsa:3981	hsa:2237	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0006302', 'GO:0032201', 'GO:0045876', 'GO:0000724', 'GO:0006281', 'GO:0006260', 'GO:0006287', 'GO:0090304', 'GO:0007613', 'GO:0043137', 'GO:0009650']
hsa:3981	hsa:10111	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0006302', 'GO:0031860', 'GO:1904354', 'GO:0033674', 'GO:0007004', 'GO:0000019', 'GO:0035825', 'GO:0032508', 'GO:0110025', 'GO:0000723', 'GO:0000729', 'GO:0044818', 'GO:0031954', 'GO:0006974', 'GO:0006281', 'GO:0006310', 'GO:0007507', 'GO:0032206', 'GO:0046597', 'GO:0007131', 'GO:0044752']
hsa:3981	hsa:79840	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0006303', 'GO:0030183', 'GO:0010212', 'GO:0030217', 'GO:0051103', 'GO:0033152', 'GO:0008150']
hsa:3981	hsa:27434	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0016446', 'GO:0008150', 'GO:0006303', 'GO:0030183']
hsa:3981	hsa:7520	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0006302', 'GO:0000725', 'GO:0048660', 'GO:0002218', 'GO:1904430', 'GO:0071475', 'GO:0060218', 'GO:0022008', 'GO:0009410', 'GO:0006303', 'GO:0050769', 'GO:0034462', 'GO:0070198', 'GO:0032212', 'GO:0006974', 'GO:0051973', 'GO:0006310', 'GO:0071480', 'GO:0045860', 'GO:0071425', 'GO:0071398', 'GO:0071481', 'GO:1990830', 'GO:0043085', 'GO:0045892', 'GO:0032204']
hsa:3981	hsa:5591	['GO:0006302', 'GO:0043524', 'GO:0071479', 'GO:2001252', 'GO:0045190', 'GO:0048146', 'GO:0033151', 'GO:0010332', 'GO:0001701', 'GO:0022008', 'GO:0033152', 'GO:0000012', 'GO:0006303', 'GO:0075713', 'GO:0050769', 'GO:0007417', 'GO:0010212', 'GO:0006266', 'GO:0002328', 'GO:0051103', 'GO:0048144', 'GO:0051102', 'GO:0097680', 'GO:0051402', 'GO:0006281', 'GO:0006297', 'GO:0035019', 'GO:0033153', 'GO:0051276', 'GO:1904155', 'GO:0071285', 'GO:0010165', 'GO:0072089']	['GO:0031648', 'GO:0006302', 'GO:0043065', 'GO:0160049', 'GO:0048660', 'GO:0002218', 'GO:0036211', 'GO:0002360', 'GO:0033151', 'GO:0010332', 'GO:0006468', 'GO:0033152', 'GO:0016233', 'GO:0006303', 'GO:0002326', 'GO:0033077', 'GO:0001933', 'GO:0018105', 'GO:0000723', 'GO:0034462', 'GO:0010212', 'GO:0097681', 'GO:0002328', 'GO:2001034', 'GO:0008630', 'GO:0035234', 'GO:0045727', 'GO:0006974', 'GO:0042752', 'GO:0007420', 'GO:0045621', 'GO:0007507', 'GO:0032869', 'GO:0001756', 'GO:0045648', 'GO:0031571', 'GO:0043066', 'GO:0033153', 'GO:1905221', 'GO:0050678', 'GO:0000460', 'GO:0018107', 'GO:1902036', 'GO:0045944', 'GO:0002327', 'GO:0030098']
