node_from	from_biotype	node_to	to_biotype	probability	p
56938		56938		0.2769293034635068	0.0009990009990009
56938		cluster:10609		0.110771721354544	0.0009990009990009
56938		2033		0.0005070953618097	0.0009990009990009
56938		266743		0.0004514357997427	0.0009990009990009
56938		272322		0.0830787910914196	0.0009990009990009
56938		362464		0.0830787910914196	0.0009990009990009
56938		cluster:910		0.0012327899974796	0.0009990009990009
56938		cluster:3603		0.0084741268287141	0.0009990009990009
56938		55832		0.0003999295686781	0.0009990009990009
56938		406		0.0039161095810357	0.0009990009990009
56938		9575		0.0313655333549806	0.0009990009990009
56938		8850		0.0027526334040198	0.0009990009990009
56938		4862		0.0003709901077098	0.0009990009990009
56938		cluster:20834		0.0007329636489892	0.0009990009990009
56938		12753		0.0004072247385054	0.0009990009990009
56938		29657		0.0009245924987157	0.0009990009990009
56938		60447		0.0021237492140461	0.0009990009990009
56938		GS248183		0.0006218553317629	0.0019980019980019
56938		GS14907		0.000863841655866	0.0019980019980019
56938		285987		0.000466391499457	0.0019980019980019
56938		767558		0.000466391499457	0.0019980019980019
56938		147947		0.000466391499457	0.0019980019980019
56938		27177		0.0003811066155738	0.0019980019980019
56938		339302		0.0003811066155738	0.0019980019980019
56938		359775		0.000647881242399	0.0019980019980019
56938		81295		0.000647881242399	0.0019980019980019
56938		228		0.000647881242399	0.0019980019980019
56938		140850		0.0004506999949474	0.0019980019980019
56938		119696		0.000647881242399	0.0019980019980019
56938		81240		0.000647881242399	0.0019980019980019
56938		28567		0.000647881242399	0.0019980019980019
56938		28566		0.000647881242399	0.0019980019980019
56938		28565		0.000647881242399	0.0019980019980019
56938		160364		0.0003811066155738	0.0019980019980019
56938		1671		0.0004506999949474	0.0019980019980019
56938		388363		0.000647881242399	0.0019980019980019
56938		9058		0.0003811066155738	0.0019980019980019
56938		406894		0.000647881242399	0.0019980019980019
56938		131578		0.0003811066155738	0.0019980019980019
56938		1669		0.0004506999949474	0.0019980019980019
56938		389434		0.0003725964840059	0.0019980019980019
56938		326268		0.000647881242399	0.0019980019980019
56938		8807		0.0003811066155738	0.0019980019980019
56938		1370		0.0003811066155738	0.0019980019980019
56938		932		0.0003811066155738	0.0019980019980019
6531		GO:0019226		0.0005746446453923	0.0009990009990009
6531		68196		0.0004422097096385	0.0009990009990009
6531		76365		0.0004468906406908	0.0009990009990009
6531		78829		0.0004311605216864	0.0009990009990009
6531		110052		0.0004341298803175	0.0009990009990009
6531		140577		0.0004469603221663	0.0009990009990009
6531		7041		0.0010685357909307	0.0009990009990009
6531		GO:0015844		0.0355394332964562	0.0009990009990009
6531		cluster:7572		0.0119585606248848	0.0009990009990009
6531		5747		0.0005284450187205	0.0009990009990009
6531		6532		0.001523284479731	0.0009990009990009
6531		255239		0.0021367071622989	0.0009990009990009
6531		2166		0.0015261903816713	0.0009990009990009
6531		24898		0.0036827874125654	0.0009990009990009
6531		GO:0015311		0.0084024502184777	0.0009990009990009
6531		GO:0099123		0.0015886483948335	0.0009990009990009
6531		GO:1901241		0.0008048754315869	0.0009990009990009
6531		Q920H4		0.0084774309054072	0.0009990009990009
6531		GO:0015452		0.0003589089113364	0.0009990009990009
6531		GO:0022804		0.0032650882061864	0.0009990009990009
6531		GO:0015454		0.0003589089113364	0.0009990009990009
6531		GO:0061532		0.0032529209982593	0.0009990009990009
6531		GO:0014046		0.0041312134783311	0.0009990009990009
6531		GO:0051620		0.0033795666434045	0.0009990009990009
6531		GO:0015530		0.0006393037597437	0.0009990009990009
6531		GO:0042931		0.0006272414126572	0.0009990009990009
6531		GS1132		0.0076844002359821	0.0009990009990009
6531		84574		0.0044870489168935	0.0009990009990009
6531		GO:0015576		0.0007675316468603	0.0009990009990009
6531		GO:0051934		0.0038362492902635	0.0009990009990009
6531		GO:0008504		0.0327025125678173	0.0009990009990009
6531		GO:0061531		0.0017364500641003	0.0009990009990009
6531		GO:0015872		0.022031837768811	0.0009990009990009
6531		GO:0005330		0.039561789407754	0.0009990009990009
6531		GO:0015129		0.0006393037597437	0.0009990009990009
6531		GO:0008511		0.0025926438191893	0.0009990009990009
6531		21804		0.0422786577916901	0.0009990009990009
6531		GO:0015130		0.0008048754315869	0.0009990009990009
6531		GO:0015874		0.0030811205646045	0.0009990009990009
6531		GO:0098810		0.001212100137639	0.0009990009990009
6531		GO:0045121		0.0010659315629947	0.0009990009990009
6531		Q8K418		0.0003834607511909	0.0009990009990009
6531		GO:0048243		0.001181832001148	0.0009990009990009
6531		244859		0.0006410121508039	0.0009990009990009
6531		GO:0070908		0.0068915265138002	0.0009990009990009
6531		GO:0051625		0.0034122876440178	0.0009990009990009
6531		GO:0006837		0.0060564680173511	0.0009990009990009
6531		GO:1901618		0.0030387261130982	0.0009990009990009
6531		GO:0015491		0.0004142933081234	0.0009990009990009
6531		D3ZCF5		0.0003793022245645	0.0009990009990009
6531		cluster:68184		0.0004417724605706	0.0009990009990009
6531		1813		0.0033543198136468	0.0009990009990009
6531		O35049		0.0018607485736559	0.0009990009990009
6531		GO:0048242		0.0014981350068256	0.0009990009990009
6531		GO:0015399		0.0004785452141339	0.0009990009990009
6531		GO:0042934		0.0005083384205777	0.0009990009990009
6531		367080		0.0006410121508039	0.0009990009990009
6531		GO:0050432		0.0022257395553642	0.0009990009990009
6531		5173		0.00053566750212	0.0009990009990009
6531		GO:0048241		0.003168376566168	0.0009990009990009
6531		6531		0.2628006755782656	0.0009990009990009
6531		GO:0090494		0.0288414705225664	0.0009990009990009
6531		27140		0.0010357102089589	0.0009990009990009
6531		GO:0051937		0.0077630836134278	0.0009990009990009
6531		cluster:817		0.0004245946609563	0.0009990009990009
6531		GO:0061545		0.0062347652455828	0.0009990009990009
6531		4988		0.0004643843776848	0.0009990009990009
6531		18088		0.0004442805558754	0.0009990009990009
6531		GO:0051610		0.0027257130583444	0.0009990009990009
6531		cluster:22561		0.0008690072392828	0.0009990009990009
6531		GO:0098857		0.0003732727580473	0.0009990009990009
6531		GO:0015378		0.0084699242648029	0.0009990009990009
6531		GO:0051583		0.0082018398724636	0.0009990009990009
6531		GO:0022856		0.0003564070690995	0.0009990009990009
6531		GO:0099124		0.0011787638609905	0.0009990009990009
6531		cluster:23181		0.000414284083543	0.0009990009990009
6531		cluster:18258		0.0008546828635584	0.0009990009990009
6531		GO:0015166		0.0003717596883976	0.0009990009990009
6531		GO:0009986		0.0005779217480054	0.0009990009990009
6531		GO:0090493		0.0059310571497761	0.0009990009990009
6531		GO:0023061		0.0005164336073817	0.0009990009990009
6531		GO:0061546		0.0024396907493475	0.0009990009990009
6531		GO:0005334		0.0110527907370062	0.0009990009990009
6531		Q6W9L1		0.0004334413110225	0.0009990009990009
6531		GO:0001820		0.0010750098166343	0.0009990009990009
6531		cluster:55547		0.0680707880785018	0.0009990009990009
6531		GO:0005335		0.0110527907370062	0.0009990009990009
6531		GO:0031928		0.0022790445854214	0.0009990009990009
6531		GO:0034041		0.000638382474306	0.0009990009990009
6531		GO:0015173		0.0005992760815749	0.0019980019980019
6531		GO:0043005		0.00080364889647	0.0019980019980019
6531		94338		0.0005367817047189	0.0019980019980019
6531		213788		0.000585687657342	0.0019980019980019
6531		GO:0005277		0.0003706927767223	0.0019980019980019
6531		GO:0015540		0.0005244656359712	0.0019980019980019
6531		GO:0042757		0.0006719217446176	0.0019980019980019
6531		GO:0015895		0.0005981176134463	0.0019980019980019
6531		GO:0015716		0.0005981176134463	0.0019980019980019
6531		GO:0043025		0.0005679549509729	0.0019980019980019
6531		GO:1901571		0.0005981176134463	0.0019980019980019
6531		GO:0044301		0.0006719217446176	0.0019980019980019
6531		GO:0051608		0.0003943059633454	0.0019980019980019
6531		GO:0021984		0.000654088603545	0.0019980019980019
6531		GO:1903415		0.0005981176134463	0.0019980019980019
6531		GO:0080051		0.0005981176134463	0.0019980019980019
6531		216963		0.0055343271803344	0.0019980019980019
6531		14251		0.0004457902661502	0.0019980019980019
6531		13162		0.0057996893229968	0.0019980019980019
6531		14252		0.0014670089558268	0.0019980019980019
6531		GO:0031925		0.0012016593177788	0.0019980019980019
6531		GO:0071702		0.0007974901509008	0.0019980019980019
6531		cluster:32204		0.001421609932709	0.0019980019980019
6531		GO:0051615		0.0005707420511961	0.0019980019980019
6531		P22682		0.0022188901585791	0.0019980019980019
6531		GO:0015379		0.0011751290665807	0.0019980019980019
6531		GO:0015850		0.0004778821533789	0.0019980019980019
6531		GO:0005326		0.0012895090634491	0.0019980019980019
6531		GO:0061529		0.0005984239039141	0.0019980019980019
6531		GO:0061533		0.0004798102767948	0.0019980019980019
6531		GO:1901374		0.0003889666108685	0.0019980019980019
6531		GO:0015551		0.001336196906537	0.0019980019980019
6531		21384		0.0004469503699973	0.0019980019980019
6531		GO:0015837		0.0004470354078791	0.0019980019980019
6531		GO:0015382		0.0006296762823102	0.0019980019980019
6531		GO:0008507		0.0006878103448665	0.0019980019980019
6531		GO:0061527		0.0004786597242736	0.0019980019980019
6531		GO:0031927		0.0012016593177788	0.0019980019980019
6531		GO:1901140		0.0003584116155042	0.0019980019980019
6531		GO:1990906		0.000602736672369	0.0019980019980019
6531		GO:0030424		0.0008958956594673	0.0019980019980019
6531		GO:0097463		0.000602736672369	0.0019980019980019
6531		GO:0015799		0.0003584116155042	0.0019980019980019
6531		GO:0015377		0.0019440096138324	0.0019980019980019
6531		GO:0015731		0.0003584116155042	0.0019980019980019
6531		GO:0015898		0.0005476777185912	0.0019980019980019
6531		GO:0097462		0.000602736672369	0.0019980019980019
6531		GO:0015373		0.001555369800456	0.0019980019980019
6531		GO:0016600		0.0224418944770568	0.0019980019980019
6531		GO:0015899		0.0005476777185912	0.0019980019980019
6531		GO:0033223		0.0005476777185912	0.0019980019980019
6531		GO:0042909		0.0005476777185912	0.0019980019980019
6531		GO:0015903		0.0004278247196202	0.0019980019980019
6531		GO:0015905		0.0003769014717871	0.0019980019980019
6531		GO:0015902		0.0005476777185912	0.0019980019980019
6531		GO:1901504		0.0005476777185912	0.0019980019980019
6531		GO:0015877		0.0005476777185912	0.0019980019980019
6531		GO:0030185		0.0004972378237362	0.0019980019980019
6531		GO:1990769		0.000602736672369	0.0019980019980019
6531		GO:0005451		0.0005311474214162	0.0019980019980019
6531		GO:0043176		0.0004488412382992	0.0019980019980019
6531		GO:0071705		0.0006629837645205	0.0019980019980019
6531		Q9Z1E1		0.0017171874057996	0.0019980019980019
6531		GO:0031926		0.0007968765625317	0.0019980019980019
6531		cluster:3293		0.0004012322517127	0.0029970029970029
6531		GO:1990384		0.0009133851710739	0.0029970029970029
6531		GO:0042053		0.0003642346490047	0.0029970029970029
6531		GO:2000583		0.000444350490227	0.0029970029970029
6531		225689		0.0004797222687693	0.0029970029970029
6531		GO:0006812		0.0005584151223172	0.0029970029970029
6531		GO:0015686		0.0003910410902347	0.0029970029970029
6531		GO:0032487		0.0005022210313903	0.0029970029970029
6531		GO:0044302		0.0003794275050418	0.0029970029970029
6531		GO:0009674		0.0007255219433227	0.0029970029970029
6531		GO:0015296		0.0004361399862042	0.0029970029970029
6531		GO:0005328		0.0005381588194961	0.0029970029970029
6531		GO:0015078		0.0003761408825584	0.0029970029970029
6531		GO:0042420		0.0007906120725479	0.0029970029970029
6531		GO:0006836		0.0011181777012533	0.0029970029970029
