node_from	from_biotype	node_to	to_biotype	probability	p
4771		65157		0.0016478647330257	0.0019980019980019
4771		4354		0.0034318278643896	0.0019980019980019
4771		cluster:1826		0.001790518885712	0.0019980019980019
4771		55114		0.0033591854641969	0.0019980019980019
4771		51421		0.0119191499348594	0.0019980019980019
4771		4771		0.2693893954611608	0.0019980019980019
4771		105835		0.0129103257871041	0.0019980019980019
4771		362963		0.0129103257871041	0.0019980019980019
4771		cluster:2180		0.0730889506799798	0.0019980019980019
4771		cluster:11873		0.0018873283582284	0.0019980019980019
4771		cluster:9420		0.0036059222497221	0.0019980019980019
4771		25744		0.0116744982960356	0.0019980019980019
4771		75723		0.0008629961465481	0.0019980019980019
4771		56332		0.000856674330881	0.0019980019980019
4771		27352		0.0430344193024649	0.0019980019980019
4771		cluster:9984		0.001039325295277	0.0019980019980019
4771		66999		0.0014154962685224	0.0019980019980019
4771		305391		0.0014154962685224	0.0019980019980019
4771		29970		0.0058451948655547	0.0019980019980019
4771		154810		0.0229953331611546	0.0019980019980019
4771		315430		0.0018651687534556	0.0019980019980019
4771		27494		0.0004348318338873	0.0019980019980019
4771		55110		0.0012145706214202	0.0019980019980019
4771		GO:0043532		0.0032989767136397	0.0019980019980019
4771		5584		0.0005586527893066	0.0019980019980019
4771		GO:0008180		0.0022034374819844	0.0019980019980019
4771		154796		0.0084309574804715	0.0019980019980019
4771		cluster:15778		0.0025187172861748	0.0019980019980019
4771		cluster:56794		0.0004249277782933	0.0019980019980019
4771		80306		0.0047183208946682	0.0019980019980019
4771		63994		0.0004374940035188	0.0019980019980019
4771		30953		0.1185082226335482	0.0019980019980019
4771		18016		0.0112919089633499	0.0019980019980019
4771		cluster:9249		0.0172137677285829	0.0019980019980019
4771		17524		0.0013428891645865	0.0019980019980019
4771		10207		0.0031252486123288	0.0019980019980019
4771		cluster:130673		0.0466325315624064	0.0019980019980019
4771		cluster:43977		0.006430874515328	0.0019980019980019
4771		cluster:72199		0.0009487635441127	0.0019980019980019
4771		300289		0.0012090798302623	0.0019980019980019
4771		9440		0.0005255485602321	0.0029970029970029
4771		10403		0.0005813825248819	0.0029970029970029
4771		116123		0.0004583106780379	0.0029970029970029
4771		5469		0.0004378794847184	0.0029970029970029
4771		81857		0.000396677575548	0.0029970029970029
4771		9439		0.0004770697699172	0.0029970029970029
4771		1024		0.0004942994130404	0.0029970029970029
4771		23389		0.0006544285488265	0.0029970029970029
4771		9969		0.000656440634329	0.0029970029970029
4771		64398		0.0010537715082204	0.0029970029970029
4771		5436		0.000535625861481	0.0029970029970029
4771		5433		0.0005909693278445	0.0029970029970029
4771		5432		0.0005312007195362	0.0029970029970029
4771		5441		0.0005004368238026	0.0029970029970029
4771		112950		0.000526713355024	0.0029970029970029
4771		9442		0.0005800508895005	0.0029970029970029
4771		892		0.0005778160522127	0.0029970029970029
4771		10025		0.0004396227532688	0.0029970029970029
4771		9282		0.0004398952081293	0.0029970029970029
4771		9968		0.0005281037461578	0.0029970029970029
4771		54797		0.0006574924620402	0.0029970029970029
4771		9477		0.0005280330802928	0.0029970029970029
4771		90390		0.0006526981934221	0.0029970029970029
4771		5439		0.0006533458304056	0.0029970029970029
4771		5431		0.0005212894400969	0.0029970029970029
4771		6837		0.0005237303434623	0.0029970029970029
4771		9862		0.0005243008784596	0.0029970029970029
4771		400569		0.0006562661520315	0.0029970029970029
4771		10001		0.0005182808543549	0.0029970029970029
4771		51586		0.0004516169015762	0.0029970029970029
4771		GS251035		0.0006110809037759	0.0029970029970029
4771		23097		0.0004833913528623	0.0029970029970029
4771		140581		0.0004935436909809	0.0029970029970029
4771		84246		0.0004075470525788	0.0029970029970029
