ENTREZ_GENE_A	ENTREZ_GENE_B
89821	84494
89821	140933
140933	89821
2099	117274
117274	2099
117274	25149
29491	682507
1213	117277
51475	171140
117955	24255
50944	65096
65040	22941
65040	78957
65040	59312
25469	1742
78957	1742
65040	1742
65040	78957
78957	65040
8683	64196
64196	8683
64196	6434
64196	6426
64196	7307
64196	6431
64196	12748
12748	64196
6426	64196
6434	64196
8683	64196
3708	29546
3708	29547
29542	26409
9020	29542
9020	29542
3551	29542
1147	29542
29542	3551
29542	1147
29542	6885
24413	855661
24413	853503
24413	855224
24413	855836
84027	399489
399489	84027
292732	680423
83840	9978
363445	299694
59109	113894
7316	113894
2903	116681
2904	116681
2906	116681
59109	312937
83571	294790
294790	83571
24708	399489
24586	192255
3091	24874
5903	25573
5903	83499
5903	289990
5903	83806
25388	154
154	25388
25388	1213
25388	1173
25388	5894
306332	499558
499558	306332
85327	499558
499558	60442
85327	499558
140908	56816
23149	313474
84251	313474
854552	25531
79121	83519
79121	25270
29386	546
367218	363287
24898	25489
24898	313474
24898	117277
5071	313474
117060	51247
60563	84578
60563	84577
60563	297893
24855	7529
57617	83722
64601	83722
65082	83722
57617	83722
83722	57617
83722	64601
83722	65082
83722	55823
83722	57617
83722	64601
83722	55823
55823	83722
57617	83722
25636	326846
5685	56816
502389	24840
301164	24840
170915	24840
502389	24840
309165	297893
1129	307947
83618	363287
83618	84580
2150	500985
500985	2150
25223	64646
25223	64647
314436	501099
315151	501099
25705	501099
501099	25705
25631	25705
25705	25631
26295	170821
26295	170821
170821	26295
867	24596
867	24596
25502	595
6477	307309
6622	307309
100362678	170915
855228	29274
851549	29274
856852	29274
24577	299347
24338	299347
24708	299347
25238	10014
25238	2782
54244	79114
113927	34595
140941	307309
302553	81758
81758	302553
297893	81758
54244	24253
54244	140586
170915	24253
24253	170915
444985	84577
84577	444985
444985	84577
84577	444985
303181	312781
111	290447
25591	29577
25591	362533
25591	64012
25591	361100
25591	25135
25591	252855
25591	25498
25591	363633
25591	117056
25591	64627
25591	54244
25591	301164
25591	83805
25591	317256
25591	25400
29577	25591
29577	363633
29577	54244
29577	301164
29577	83805
29577	25400
29577	252855
315716	328833
10014	29753
3480	25387
85385	81504
24873	367218
367218	24873
367218	24873
24873	367218
81673	54244
81673	170915
24680	25459
25023	25459
24681	25459
170538	25459
25086	299331
25086	266759
24296	299331
24296	266759
24300	299331
24300	266759
301517	266759
12914	25517
54244	25517
9611	24413
9612	24413
24790	113938
113938	117855
25642	50522
83721	83824
83824	83721
79257	83721
79257	83721
83721	83824
83824	83721
83721	79257
84353	83824
83721	83824
26564	64512
81650	12416
116590	142
24577	500569
24577	500569
114505	29357
114505	25631
114505	29357
405788	24873
12393	24873
861	24873
864	24873
50689	24680
50689	116590
50689	54321
116590	24680
116590	50689
116590	54321
54321	24680
54321	50689
54321	116590
54321	116590
