geneset	term
GS14906	D015894
GS14906	D000483
GS14906	D000483
GS14906	D016540
GS14906	D008967
GS14906	D001244
GS14906	D055106
GS14906	GO:0005623
GS14906	D013375
GS14906	D014029
GS14906	D011506
GS14906	D020641
GS14906	D005823
GS14906	D018377
GS14906	D020022
GS14906	D058028
GS14906	D000328
GS14906	D001244
GS14906	D006801
GS14906	D012926
GS14907	D009316
GS14907	D006664
GS14907	D016540
GS14907	D058028
GS14907	D016896
GS14907	D005787
GS14907	D035842
GS14907	D006239
GS14907	D009538
GS14907	D012907
GS14907	D009538
GS14907	D055106
GS14907	D014029
GS14907	D014029
GS14907	D016540
GS14907	D016430
GS14907	D002986
GS14907	D001076
GS14907	D009316
GS14907	D006262
GS14907	D001076
GS14907	D001244
GS14907	D006801
GS14907	D009316
GS14907	D006239
GS14907	D001244
GS14907	D004247
GS14907	D018486
GS14907	D000047
GS14907	D012718
GS14907	D055106
GS14907	D055106
GS14907	D012907
GS14907	D014427
GS14907	D015894
GS14907	D014481
GS14907	D014029
GS14907	D009538
GS14907	D012106
GS14907	D008967
GS14907	D006801
GS14908	D009316
GS14908	D001076
GS14908	D006801
GS14908	D055106
GS14908	D002986
GS14908	D014029
GS14908	D014029
GS14908	D016540
GS14908	D012106
GS14908	D009316
GS14908	D006801
GS14908	D055106
GS14908	D055106
GS14908	D016430
GS14908	D006239
GS14908	D016540
GS14908	D015894
GS14908	D035842
GS14908	D006239
GS14908	D009538
GS14908	D005787
GS14908	D009538
GS14908	D012907
GS14908	D014481
GS14908	D016896
GS14908	D058028
GS14908	D012907
GS14908	D000047
GS14908	D014427
GS14908	D006664
GS14908	D018486
GS14908	D001244
GS14908	D009316
GS14908	D001076
GS14908	D014029
GS14908	D004247
GS14908	D012718
GS14908	D009538
GS14908	D006262
GS14908	D001244
GS14908	D008967
GS15464	D024683
GS15464	GO:0010467
GS15464	D001921
GS15464	D025521
GS15464	D014029
GS15464	D018722
GS15464	D008091
GS15464	D009538
GS15464	D005786
GS15464	D000679
GS15464	D015221
GS15464	D000818
GS15464	D012333
GS15464	D015203
GS15464	D015398
GS15464	D009538
GS15464	D009447
GS15464	D020869
GS15464	D012333
GS15464	D013812
GS15464	D010716
GS15464	GO:0005634
GS15464	D051381
GS15464	D020411
GS15464	D009934
GS15464	MA:0000168
GS15464	D006801
GS15464	D009714
GS15464	D046228
GS15464	D013812
GS15464	D017557
GS15464	GO:0010467
GS15464	D009447
GS15464	D000109
GS15464	D051059
GS15464	D010744
GS15464	D002477
GS15464	D017397
GS15464	D016341
GS15464	D020224
GS15464	D017397
GS15464	D025341
GS15464	D018076
GS15464	MA:0000887
GS15464	D014158
GS15464	D017557
GS15464	GO:0035094
GS15464	D017207
GS15464	D009538
GS15464	D004334
GS15464	MP:0002039
GS15464	D015203
GS15464	GO:0023052
GS15464	D009714
GS15464	D000679
GS15464	GO:0005006
GS15464	D020411
GS15464	D051381
GS15464	D001921
GS18839	D013995
GS18839	D012333
GS18839	MP:0002039
GS18839	MP:0002039
GS18839	D006801
GS18839	GO:0010467
GS18839	D011506
GS18839	D013812
GS18839	D012194
GS18839	D002477
GS18839	D014746
GS18839	MP:0008912
GS18839	D011950
GS18839	D014157
GS18839	MP:0008912
GS18839	D011950
GS18839	D006801
GS18839	D020133
GS18839	D014029
GS18839	D002460
GS18839	D014403
GS18839	D010949
GS18839	GO:0016485
GS18839	D016133
GS18839	D009447
GS18839	D014407
GS18839	D012380
GS18839	D012321
GS18839	D016601
GS18839	D001288
GS18839	D013995
GS18839	D000109
GS18839	D015854
GS18839	D020133
GS18839	D012718
GS18839	D000339
GS18839	D009447
GS18839	D009420
GS18839	D009447
GS18839	D009420
GS18839	MA:0000016
GS18839	D005786
GS18839	D020411
GS18839	D015854
GS18839	GO:0010467
GS18839	MA:0000016
GS18839	D015816
GS18839	D011978
GS18839	D009538
GS18839	D009538
GS18839	MA:0002501
GS18839	D016601
GS18839	D001288
GS18839	GO:0005623
GS18839	D000109
GS18839	D008565
GS18839	D010827
GS18839	D009538
GS18839	D011978
GS18839	D002477
GS18841	D012718
GS18841	MP:0002039
GS18841	MP:0002039
GS18841	D006801
GS18841	D013995
GS18841	D000109
GS18841	D002477
GS18841	GO:0010467
GS18841	D011506
GS18841	D013812
GS18841	D012380
GS18841	D013995
GS18841	D000109
GS18841	D002477
GS18841	GO:0010467
GS18841	GO:0005623
GS18841	D012194
GS18841	D014746
GS18841	D009447
GS18841	D009447
GS18841	D009420
GS18841	D009447
GS18841	D009420
GS18841	D000339
GS18841	D020411
GS18841	D015816
GS18841	GO:0016485
GS18841	D011978
GS18841	D006801
GS18841	D012333
GS18841	D011978
GS18841	D011950
GS18841	MP:0008912
GS18841	D014157
GS18841	D011950
GS18841	MP:0008912
GS18841	D002460
GS18841	D014403
GS18841	D010949
GS18841	D012321
GS18841	MA:0002501
GS18841	D009538
GS18841	D008565
GS18841	D010827
GS18841	D009538
GS18841	D006040
GS18841	D016133
GS18841	MA:0000016
GS18841	MA:0000016
GS18841	D009538
GS18841	D015854
GS18841	D015854
GS18841	D020133
GS18841	D014029
GS18841	D020133
GS18841	D001288
GS18841	D016601
GS18841	D005786
GS18841	D001288
GS18841	D016601
GS18841	D014407
GS26287	D014026
GS26287	D020641
GS26287	D005783
GS26287	D020641
GS26287	D005787
GS26287	D016022
GS26287	D012907
GS26287	D009538
GS26287	D000483
GS26287	D014937
GS26287	D015894
GS26287	D001244
GS26287	D020641
GS26287	D020022
GS26287	D009538
GS26287	D005787
GS26287	D014029
GS26287	D001244
GS26287	D003643
GS26287	D005838
GS26287	D012043
GS26287	D014029
