geneset	term
GS14890	GO:0007049
GS14890	D012439
GS14890	GO:0005634
GS14890	D020869
GS14890	D051379
GS14890	D012718
GS14890	GO:0005634
GS14890	GO:0035094
GS14890	D020133
GS14890	D020133
GS14890	GO:0048513
GS14890	D004247
GS14890	D020869
GS14890	D020411
GS14890	D009538
GS14890	D016133
GS14890	D014867
GS14890	D013045
GS14890	MA:0000887
GS14890	D002455
GS14890	D009474
GS14890	D001921
GS14890	D038081
GS14890	D051379
GS14890	D001921
GS14890	D000200
GS14890	D051379
GS14890	D018076
GS14890	D020869
GS14890	D013812
GS14890	D020411
GS14890	D017397
GS14890	D009435
GS14890	D013812
GS14890	D009538
GS14890	D009538
GS14890	GO:0043739
GS14890	D001522
GS14890	D006624
GS14891	D013812
GS14891	D055694
GS14891	D009714
GS14891	D055694
GS14891	D000679
GS14891	D009435
GS14891	D001921
GS14891	D051379
GS14891	D020869
GS14891	D020411
GS14891	D006624
GS14891	MA:0000168
GS14891	MA:0000191
GS14891	GO:0010467
GS14891	D001921
GS14891	D051379
GS14891	D020869
GS14891	D013812
GS14891	D014024
GS14891	D020411
GS14891	D002477
GS14891	D006624
GS14891	MA:0000168
GS14891	MA:0000191
GS14891	GO:0048513
GS14891	GO:0010467
GS14891	GO:0005623
GS14891	MA:0000217
GS14891	MA:0000887
GS14891	D018076
GS14891	D012194
GS14891	D025341
GS14891	D018076
GS14891	D008810
GS14891	D009474
GS14891	D051379
GS14891	D020869
GS14891	D001921
GS14891	D020411
GS14891	D001522
GS14891	D002453
GS14891	D000818
GS14891	D000200
GS14891	D014867
GS14891	D004247
GS14891	D012718
GS14891	D014158
GS14891	GO:0019226
GS14891	D012321
GS14891	GO:0043739
GS14891	D009538
GS14891	D009538
GS14891	D009538
GS14891	D020133
GS14891	D020133
GS14891	D012439
GS14891	D004326
GS14891	D007062
GS14891	D038081
GS14891	MP:0002555
GS14891	D058028
GS14891	D012107
GS14891	D008809
GS14891	GO:0035094
GS14891	D038081
GS14891	D017397
GS14891	D017397
GS14891	D002455
GS14891	D016133
GS14891	D017557
GS14891	D038081
GS14891	D013045
GS14891	D016133
GS14891	GO:0005634
GS14891	GO:0005634
GS14891	GO:0007049
GS14891	D009714
GS14892	D000818
GS14892	D001522
GS14892	D055694
GS14892	D051379
GS14892	D009714
GS14892	D002455
GS14892	D012439
GS14892	D009474
GS14892	D055694
GS14892	D008810
GS14892	GO:0005634
GS14892	D002453
GS14892	D020411
GS14892	D020133
GS14892	GO:0043739
GS14892	D009435
GS14892	D017557
GS14892	D016133
GS14892	D017557
GS14892	D009538
GS14892	GO:0007049
GS14892	D012321
GS14892	GO:0019226
GS14892	MP:0002555
GS14892	D001921
GS14892	D051379
GS14892	D020869
GS14892	D013812
GS14892	D058028
GS14892	D014158
GS14892	D012107
GS14892	GO:0005623
GS14892	MA:0000217
GS14892	D008809
GS14892	MA:0000887
GS14892	D018076
GS14892	D012194
GS14892	D020411
GS14892	D006624
GS14892	MA:0000168
GS14892	MA:0000191
GS14892	GO:0010467
GS14892	D016133
GS14892	D000679
GS14892	D001921
GS14892	D004326
GS14892	D025341
GS14892	D018076
GS14892	D012718
GS14892	D007062
GS14892	D051379
GS14892	D009714
GS14892	D013045
GS14892	D020869
GS14892	D013812
GS14892	D014024
GS14892	D038081
GS14892	D020411
GS14892	D020133
GS14892	D038081
GS14892	D002477
GS14892	D006624
GS14892	MA:0000168
GS14892	MA:0000191
GS14892	GO:0048513
GS14892	GO:0010467
GS14892	GO:0005634
GS14892	D004247
GS14892	D014867
GS14892	D000200
GS14892	GO:0035094
GS14892	D038081
GS14892	D017397
GS14892	D017397
GS14892	D001921
GS14892	D009538
GS14892	D009538
GS14892	D020869
GS14893	D014024
GS14893	D012439
GS14893	D020133
GS14893	D009435
GS14893	D020133
GS14893	D016133
GS14893	D013045
GS14893	D038081
GS14893	D055694
GS14893	D001921
GS14893	D001921
GS14893	D001522
GS14893	D020869
GS14893	D051379
GS14893	D009474
GS14893	D008810
GS14893	D017557
GS14893	D016133
GS14893	D017557
GS14893	D009714
GS14893	D055694
GS14893	D051379
GS14893	D020869
GS14893	D013812
GS14893	D020411
GS14893	D002453
GS14893	D020411
GS14893	D006624
GS14893	MA:0000168
GS14893	MA:0000191
GS14893	GO:0010467
GS14893	D001921
GS14893	D051379
GS14893	D020869
GS14893	D013812
GS14893	D000679
GS14893	D020411
GS14893	D002455
GS14893	D002477
GS14893	D006624
GS14893	MA:0000168
GS14893	MA:0000191
GS14893	GO:0048513
GS14893	GO:0010467
GS14893	D000818
GS14893	D009714
GS14893	D017397
GS14893	D017397
GS14893	D000200
GS14893	D014867
GS14893	D004247
GS14893	D012718
GS14893	D038081
GS14893	GO:0035094
GS14893	D008809
GS14893	D018076
GS14893	D025341
GS14893	D012194
GS14893	D012107
GS14893	D018076
GS14893	D058028
GS14893	MP:0002555
GS14893	MA:0000887
GS14893	MA:0000217
GS14893	GO:0005623
GS14893	D014158
GS14893	GO:0019226
GS14893	D012321
GS14893	GO:0007049
GS14893	GO:0005634
GS14893	GO:0005634
GS14893	GO:0043739
GS14893	D009538
GS14893	D009538
GS14893	D038081
GS14893	D007062
GS14893	D004326
GS14893	D009538
GS14916	MA:0000168
GS14916	GO:0010467
GS14916	D009020
GS14916	D018345
GS14916	D012718
GS14916	D015536
GS14916	D006706
GS14916	MA:0000173
GS14916	D019204
GS14916	D011451
GS14916	D053399
GS14916	D017450
GS14916	D013287
GS14916	D007031
GS14916	D012718
GS14916	D017450
GS14916	D008810
GS14916	D011957
GS14916	D001053
GS14916	D011957
GS14916	D009020
GS14916	D009479
GS14916	D015203
GS14916	D000818
GS14916	MA:0002502
GS14916	D051379
GS14916	D006706
GS14916	D018345
GS14916	D051379
GS14916	D007031
GS14916	D000818
GS14916	D001921
GS14916	D051401
GS14916	D044967
GS14916	D004364
GS14916	D009020
GS14916	D007031
GS14916	MP:0002169
GS14916	D010770
GS14916	D012926
GS14916	D010827
GS14916	D012380
GS14916	D005786
GS14916	MP:0002169
GS14916	D016133
GS14916	D012201
GS14916	D016133
GS14916	D018345
GS14916	D013812
GS14916	D051379
GS14916	MA:0000173
GS14916	D017450
GS14916	GO:0023052
GS14916	D009435
GS14917	D012201
GS14917	MA:0000173
GS14917	D053399
GS14917	MA:0000173
GS14917	D012718
GS14917	D017450
GS14917	D012718
GS14917	D017450
GS14917	D006706
GS14917	D016133
GS14917	D051401
GS14917	D044967
GS14917	D010770
GS14917	D005786
GS14917	D018345
GS14917	D017450
GS14917	D018345
GS14917	D051379
GS14917	D009020
GS14917	D011957
GS14917	D001053
GS14917	D011957
GS14917	D009479
GS14917	D015203
GS14917	D007031
GS14917	GO:0023052
GS14917	D018345
GS14917	D011451
GS14917	D015854
GS14917	D013812
GS14917	D013287
GS14917	D019204
GS14917	D009934
GS14917	D009020
GS14917	GO:0010467
GS14917	D012926
GS14917	D001921
GS14917	D000818
GS14917	D051379
GS14917	D013812
GS14917	D012380
GS14917	D004364
GS14917	D009020
GS14917	D009435
GS14917	D015536
GS14917	MA:0000168
GS14917	D051379
GS14917	D007031
GS14917	MP:0002169
GS14917	D010827
GS14917	MP:0002169
GS14917	MA:0002502
GS14917	D007031
GS14917	D000818
GS14917	GO:0010467
GS14917	D006706
GS14917	D008810
GS14917	D016133
GS14918	D013812
GS14918	D053399
GS14918	GO:0010467
GS14918	D016133
GS14918	D011957
GS14918	D015536
GS14918	D009020
GS14918	D000818
GS14918	D006706
GS14918	D051379
GS14918	GO:0023052
GS14918	D017450
GS14918	D017450
GS14918	MA:0002502
GS14918	D008810
GS14918	MA:0000168
GS14918	D012718
GS14918	MP:0002169
GS14918	D010827
GS14918	MP:0002169
GS14918	D017450
GS14918	D012718
GS14918	MA:0000173
GS14918	D018345
GS14918	D011957
GS14918	D018345
GS14918	D013812
GS14918	D016133
GS14918	D005786
GS14918	D009479
GS14918	D012380
GS14918	D009020
GS14918	D051379
GS14918	D011451
GS14918	D010770
GS14918	D015854
GS14918	D004364
GS14918	D009020
GS14918	D007031
GS14918	D007031
GS14918	D001921
GS14918	D051401
GS14918	D018345
GS14918	GO:0010467
GS14918	D015203
GS14918	D013287
GS14918	D019204
GS14918	D001053
GS14918	D009435
GS14918	D051379
GS14918	D012926
GS14918	D044967
GS14918	D012201
GS14918	D009934
GS14918	D007031
GS14918	MA:0000173
GS14918	D000818
GS14919	D051379
GS14919	D015536
GS14919	D015536
GS14919	D000818
GS14919	D008810
GS14919	D012718
GS14919	D017450
GS14919	D012718
GS14919	D017450
GS14919	D017450
GS14919	D011451
GS14919	D013287
GS14919	D019204
GS14919	MP:0002169
GS14919	D010827
GS14919	MP:0002169
GS14919	GO:0010467
GS14919	D015203
GS14919	MA:0000168
GS14919	D009435
GS14919	D009020
GS14919	D004364
GS14919	D012380
GS14919	D007031
GS14919	D007031
GS14919	D013812
GS14919	D051379
GS14919	D000818
GS14919	D001921
GS14919	D012926
GS14919	GO:0010467
GS14919	D009020
GS14919	D007031
GS14919	MA:0002502
GS14919	D009934
GS14919	D013812
GS14919	D051379
GS14919	D009479
GS14919	D011957
GS14919	D001053
GS14919	D011957
GS14919	D005786
GS14919	D010770
GS14919	D044967
GS14919	D051401
GS14919	D006706
GS14919	D016133
GS14919	D012201
GS14919	D006706
GS14919	D016133
GS14919	D018345
GS14919	GO:0023052
GS14919	D018345
GS14919	D018345
GS14919	D009020
GS14919	MA:0000173
GS14919	D053399
GS14919	MA:0000173
GS14920	D009020
GS14920	GO:0010467
GS14920	D018345
GS14920	GO:0023052
GS14920	D012926
GS14920	D001921
GS14920	D000818
GS14920	D051379
GS14920	D013812
GS14920	D012380
GS14920	D004364
GS14920	D009479
GS14920	D018345
GS14920	D016133
GS14920	D009020
GS14920	D009435
GS14920	MA:0000168
GS14920	GO:0010467
GS14920	D012201
GS14920	D016133
GS14920	D006706
GS14920	MA:0000173
GS14920	MP:0002169
GS14920	D010827
GS14920	MP:0002169
GS14920	D015536
GS14920	D015536
GS14920	D051379
GS14920	D019204
GS14920	D013287
GS14920	D000818
GS14920	D008810
GS14920	D011451
