ENTREZ_GENE_A	ENTREZ_GENE_B
64081	11171
22803	54472
51225	25890
54984	10445
10549	10549
29993	29763
29993	29993
10628	27033
10675	57120
9311	57120
23613	29109
84941	10188
9670	5080
23236	54822
28962	26575
28962	8601
23594	8317
23431	10717
64105	55553
27257	55823
27257	11340
27257	118460
27257	9683
27257	57819
57819	51691
57819	27258
57819	51690
27258	51690
27258	22803
27258	84967
25804	54464
11157	10445
11157	5425
51690	11340
51690	8934
51690	118460
51691	91522
51691	10926
51691	51133
51691	118460
51691	55802
51691	25917
326	326
1894	50855
10128	55201
10128	27443
10128	23593
26353	3315
54464	22948
51298	22948
8500	28964
10492	5781
5914	29982
5914	7704
51102	5914
7353	55666
57761	468
266743	9915
5073	84221
56915	6421
7068	10499
29982	7068
2672	10401
4739	83737
96764	8726
79947	4535
26292	84073
4016	10516
4502	5587
5592	4881
6714	4536
26994	2060
3758	9351
26251	3745
1734	23032
7329	1107
10210	7329
5187	1407
8864	1407
406	1407
55145	5074
26135	1107
3297	8189
1838	3798
4173	8317
10399	8439
5932	8543
898	8452
2286	2037
2890	2037
23037	1501
2787	10681
2786	10681
2785	10681
10681	2788
84100	10550
200576	10244
377	23062
6272	23062
118460	11340
118460	23016
84838	64324
51678	93663
51678	90417
51678	5394
51678	51429
51678	23517
51678	26574
23369	23369
23369	340719
84100	51329
84100	23204
9533	51082
9093	80196
23345	23345
51147	5970
22820	22818
22820	51226
57554	22866
149371	55770
9311	64130
140290	10608
27289	91544
118460	84277
1797	22803
26019	22803
11244	23051
9261	1912
8317	10926
10092	10093
8317	10926
11244	11244
84665	10529
60491	80145
23163	7251
116154	5499
84100	64225
84100	151188
57492	6597
24148	54957
8500	26059
26059	8497
51466	23268
137492	51160
9033	7137
51086	7137
1894	27252
6884	6881
118460	51013
5218	23176
9874	25842
9874	55723
200539	84665
51125	2802
54825	23139
4087	75141
4087	19376
4087	69159
4087	72433
4087	69288
4087	54126
4087	78294
4087	57443
4087	18412
4087	52432
4087	26397
4087	74137
4087	16589
4087	73341
4087	50780
4087	16876
4087	66854
4087	66894
4087	80837
4087	11854
4087	80981
4087	16801
4087	71713
4087	108960
4087	16909
4087	17126
4087	17127
4088	66922
4088	54126
4088	52432
4088	66894
4088	75141
4088	72433
4088	57443
4088	18412
4088	26397
4088	22390
4088	73341
4088	50780
4088	66854
4088	53609
4088	17126
4088	17127
4088	14836
4089	56212
4089	75141
4089	68328
4089	80837
4089	76338
4089	11854
4089	19354
4089	18176
4089	69908
4089	72433
4089	66922
4089	76688
4089	75869
4089	213498
4089	54126
4089	18412
4089	59126
4089	67333
4089	192656
4089	26397
4089	12649
4089	27103
4089	74137
4089	58864
4089	52033
4089	16589
4089	20873
4089	67444
4089	66854
4089	56736
4089	56515
4089	17125
4089	17127
4089	20846
4089	18260
4089	15191
4089	19376
4089	22187
4089	78294
4089	16428
4089	71770
4089	71236
4089	17126
4089	11787
4092	66894
7046	69721
7046	75141
7046	68328
7046	19338
7046	69159
7046	270192
7046	11854
7046	69908
7046	72433
7046	69288
7046	80981
7046	26431
7046	14674
7046	12549
7046	69993
7046	110279
7046	108699
7046	30843
7046	77040
7046	70052
7046	107995
7046	74187
7046	69736
7046	14695
7046	78889
7046	50907
7046	73447
7046	66317
7046	14693
7046	30839
7046	13000
7046	71091
7046	59126
7046	67333
7046	73542
7046	17347
7046	20877
7046	26397
7046	16150
7046	12567
7046	27103
7046	13143
7046	104318
7046	74137
7046	58864
7046	67030
7046	16589
7046	140859
7046	93687
7046	15467
7046	18647
7046	237459
7046	12675
7046	12571
7046	21812
7046	12168
7046	56424
7046	66827
7046	13803
7046	208198
7046	93688
7046	54353
7046	16428
7046	71096
7046	56193
7046	27276
7046	76117
7046	73341
7046	56513
7046	63953
7046	67603
7046	67444
7046	19057
7046	19045
7046	67857
7046	59044
7046	56515
7046	71893
7046	67877
7046	67630
7046	14226
7046	14225
7046	54123
7046	13636
7046	52428
7046	20166
7046	56699
7046	55943
7046	56470
7046	20132
7046	18260
7046	11848
7046	74734
7046	80837
7046	19376
7046	22187
7046	78294
7046	24108
7046	77593
7046	30941
7046	22193
7046	57443
7046	78938
7046	71176
7046	75717
7046	59008
7046	66894
7046	17131
7046	20846
90	19329
90	80837
90	19338
90	11854
90	18176
90	69908
90	66922
90	108699
90	78294
90	18412
90	21812
90	56193
90	27276
90	16475
90	14228
90	69721
90	75141
90	270192
90	69288
90	28035
90	30941
90	22193
90	67615
90	57443
90	66317
90	16150
90	74137
90	67030
90	16589
90	18647
90	13998
90	67444
90	67877
90	71770
90	20846
90	55943
90	69159
658	69721
658	69159
658	11854
658	270192
658	72433
658	69288
658	78294
658	57443
658	18412
658	71833
658	17347
658	26397
658	67030
658	21812
658	66863
658	27276
658	14226
658	14225
658	54123
658	80837
658	66922
658	78938
658	67333
658	18647
658	67444
658	19057
658	117600
658	67877
658	75141
658	110279
658	108699
658	71824
658	77593
658	77040
658	30839
658	12567
658	16589
658	12168
658	56424
658	93688
658	73341
658	19052
658	58194
658	17130
658	17131
57154	69288
57154	80981
57154	66066
57154	71746
57154	16801
57154	213498
57154	22187
57154	78294
57154	77593
57154	71176
57154	18412
57154	27368
57154	71713
57154	66317
57154	68083
57154	103136
57154	27966
57154	13000
57154	71091
57154	16589
57154	108960
57154	26409
57154	59008
57154	71720
57154	76117
57154	16876
57154	56736
57154	19820
57154	74195
57154	67877
57154	69260
57154	74322
57154	68147
57154	14011
57154	20384
57154	57317
57154	21429
57154	74268
57154	23808
57154	29877
57154	26940
57154	19769
57154	75141
57154	16330
57154	54126
57154	67465
57154	57443
57154	75717
57154	52432
57154	73542
57154	192656
57154	26397
57154	22390
57154	18647
57154	56424
57154	56354
57154	19400
57154	74365
57154	215627
57154	19046
57154	66854
57154	67150
57154	56515
57154	71770
57154	17127
57154	17130
57154	17131
57154	20846
57154	52428
57154	20166
57154	18260
57154	11787
64750	75141
64750	16801
64750	59126
64750	59008
64750	56736
64750	19821
64750	69260
64750	68147
64750	17127
64750	17130
64750	17131
64750	20846
64750	13835
64750	54131
64750	57317
64750	23808
64750	29877
64750	69721
64750	19334
64750	68328
64750	19329
64750	68365
64750	11854
64750	18176
64750	19353
64750	66922
64750	98366
64750	14702
64750	67128
64750	67738
64750	17125
64750	17126
64750	14228
64750	15900
6048	29109
8859	5426
8859	5436
8859	2030
8859	23532
7936	25920
7936	9611
7936	58509
57819	51691
57819	27258
57819	51690
1192	27257
7920	8519
7920	6048
7920	81502
7920	10430
7920	84065
7920	64215
7920	55890
7920	9552
7920	6294
7920	518
1460	1459
1460	4067
1460	1460
1460	6125
1460	8930
57827	2261
7916	3646
7916	10989
7916	8100
7916	9898
7916	708
534	529
7916	3178
7916	4670
26003	81628
9729	55722
56658	56658
7186	83461
9873	339965
84528	114823
4110	92667
3866	55388
10241	112858
665	55816
11007	100131997
55388	80321
3887	79036
60	1072
11007	58500
4005	10982
2130	56952
23650	84766
23059	51550
1857	8812
28986	64112
4110	84708
23475	83755
1635	84708
7431	151254
7186	84498
22822	83755
57542	83878
7186	7597
64769	83746
9322	51729
54925	54925
8241	58155
10069	10912
6783	55068
9883	10087
5359	11052
9189	25876
3964	10241
9802	54165
373	26150
10241	85302
875	51534
8428	11235
9319	28970
1054	4302
9146	23265
55663	80345
11007	284058
79036	81631
2130	51304
468	2874
6303	84991
7186	23219
4637	11051
26150	84705
4188	55308
5584	50855
2130	9242
11030	55342
10783	11007
7532	9729
11030	113878
9319	9721
1838	128229
9402	51043
11030	54472
9616	81618
5013	83755
9513	10313
5092	79873
9874	9874
2130	283238
2992	2997
2947	2947
5257	54976
23475	51684
4598	4598
10363	54997
23265	79882
8382	143241
50717	84705
22899	25843
311	5359
8907	92610
23099	147687
23641	84708
1366	84528
572	2810
10241	79696
3190	55285
7431	11143
7431	84260
3198	4188
10241	164127
26150	83878
5359	51655
25788	80125
3866	6602
11007	57326
83878	143241
1856	5092
11007	55565
56474	56474
4188	60496
11007	60491
329	4110
8812	81628
1647	10540
54925	55663
3854	3866
11052	54826
9883	10551
54458	59349
55274	83746
4188	9907
7447	113878
29085	29947
4100	54471
8996	8996
4188	8326
373	373
51076	84708
5092	5092
3190	26505
116225	284352
11030	84445
23636	53371
54461	83755
1912	2275
6945	11345
9055	83878
56952	60491
4830	55093
5090	57085
9063	89797
79173	148223
59349	59349
4735	9802
9729	10174
26060	55198
8812	11007
1856	8078
1407	5359
3216	6303
55093	79077
54033	84528
2307	11030
80764	541468
293	5359
2139	63948
4782	84298
58500	151871
902	10534
3866	5108
26258	51019
93487	93487
55726	79027
9482	10490
26086	339965
9513	386618
3099	29979
60	1073
9802	9802
11007	26152
4110	54431
5359	25796
55145	138046
9513	11030
5359	113878
8940	26511
1488	29994
4110	83463
7329	93487
8985	11007
10016	23593
4591	79843
5721	5721
9802	84970
5300	7186
11007	151254
26071	29979
4110	9491
9265	10256
7718	51224
10241	84708
22981	220082
11228	122786
11007	27018
2272	2272
8812	54550
23641	54540
1856	11201
9260	9491
9802	54855
2130	4542
11143	80321
26580	55266
4591	286514
2130	79036
2059	26258
9694	10328
8907	9513
3983	7431
26580	85027
7431	60491
4801	10589
3198	5359
26258	220134
23641	27343
1838	23636
4110	51103
60	60
7718	11007
79036	84984
27229	57144
6449	6696
58516	84705
10445	79036
9093	348487
1725	60491
84313	84528
11007	170082
51562	80254
4591	51224
54507	65989
55684	79173
51225	84062
7186	54532
4188	79843
1856	80125
10656	79797
80254	83878
7157	286514
6637	115265
4188	494514
95	7265
22978	79873
54474	149371
9482	10488
7329	147339
4782	89882
6252	84067
8436	79873
3183	3839
11059	27332
1676	54550
55885	138046
6871	149371
694	9337
5359	65989
6602	11007
3205	7205
5682	54550
6733	11338
6924	22981
11007	23270
5359	6687
10126	140735
5747	8835
9779	11345
26258	79666
2874	79173
9729	56159
1102	51138
11007	220136
163	9729
27111	79169
8985	84528
10253	84767
11252	29993
7205	79843
7186	55707
293	83755
11030	84872
5991	7186
8878	11345
4591	27301
6449	50848
8379	56159
7257	10912
4188	8227
1649	51171
4302	51586
9632	10483
5300	81628
23062	51324
9802	116071
4077	51534
5049	5050
26150	57596
3866	11067
4188	22893
3880	9146
71	1073
5152	22954
3839	26240
2130	202559
9402	79656
9260	57144
373	80308
3927	9319
26580	55850
4188	22943
9391	79741
10606	79959
3875	27229
7518	25900
5780	10313
79637	253980
8227	11007
51324	55122
79912	139596
23281	26150
51171	55093
3880	85359
4188	10148
3927	5359
11063	25805
1781	6990
4848	4849
2010	89885
56159	114327
10474	112869
