geneset	gene
GS14929	361212
GS14929	306748
GS14929	310159
GS14929	307644
GS14929	299114
GS14929	361757
GS14929	297066
GS14929	304951
GS14929	287944
GS14929	314442
GS14929	299211
GS14929	306600
GS14929	311456
GS14929	298765
GS14929	310785
GS14929	309259
GS14929	311670
GS14929	362715
GS14929	305351
GS14929	303369
GS14929	313231
GS14929	287447
GS14929	366532
GS14929	293508
GS14929	361285
GS14929	313917
GS14929	361169
GS14929	299569
GS14929	313843
GS14929	293677
GS14929	362431
GS14929	498407
GS14929	317241
GS14929	499356
GS14929	302983
GS14929	497198
GS14929	652957
GS14929	652929
GS14930	24153
GS14930	24159
GS14930	25244
GS14930	309628
GS14930	24239
GS14930	24246
GS14930	25403
GS14930	25406
GS14930	24264
GS14930	25620
GS14930	25254
GS14930	25024
GS14930	25655
GS14930	24420
GS14930	25151
GS14930	25466
GS14930	29510
GS14930	25516
GS14930	25023
GS14930	24968
GS14930	25269
GS14930	309622
GS14930	29362
GS14930	29591
GS14930	25565
GS14930	29737
GS14930	56820
GS14930	58853
GS14930	81613
GS14930	29272
GS14930	79431
GS14930	140666
GS14930	360272
GS14930	114246
GS14930	64508
GS14930	116697
GS14930	29177
GS14930	59109
GS14930	79558
GS14930	64023
GS14930	116681
GS14930	170668
GS14930	116465
GS14930	64018
GS14930	29547
GS14930	83581
GS14930	171109
GS14930	83505
GS14930	114856
GS14930	64544
GS14930	50645
GS14930	50864
GS14930	81803
GS14930	79124
GS14930	81747
GS14930	64862
GS14930	140608
GS14930	60666
GS14930	291133
GS14930	83684
GS14930	94196
GS14930	81657
GS14930	114090
GS14930	81813
GS14930	83514
GS14930	64803
GS14930	116669
GS14930	246245
GS14930	286994
GS14930	282817
GS14930	286932
GS14930	29546
GS14930	289211
GS14930	313210
GS14930	306243
GS14930	171552
GS14930	289372
GS14930	293451
GS14930	293854
GS14930	688705
GS14930	310935
GS14930	361084
GS14930	406196
GS14930	287367
GS14930	308291
GS14930	306860
GS14930	304709
GS14930	312647
GS14930	293783
GS14930	296655
GS14930	292008
GS14930	361628
GS14930	362456
GS14930	295669
GS14930	312275
GS14930	291044
GS14930	289076
GS14930	306014
GS14930	304917
GS14930	293654
GS14930	310801
GS14930	296350
GS14930	297480
GS14930	298982
GS14930	308708
GS14930	293997
GS14930	360772
GS14930	299357
GS14930	360629
GS14930	306253
GS14930	306586
GS14930	292892
GS14930	311191
GS14930	303242
GS14930	293847
GS14930	641528
GS14945	25288
GS14945	24179
GS14945	498549
GS14945	24192
GS14945	25095
GS14945	25612
GS14945	29619
GS14945	24248
GS14945	25145
GS14945	24259
GS14945	25420
GS14945	25319
GS14945	24387
GS14945	25165
GS14945	24534
GS14945	25211
GS14945	24587
GS14945	309622
GS14945	25541
GS14945	25357
GS14945	29672
GS14945	29562
GS14945	83526
GS14945	83465
GS14945	65047
GS14945	81643
GS14945	155918
GS14945	24644
GS14945	114901
GS14945	116967
GS14945	114108
GS14945	81921
GS14945	60460
GS14945	64514
GS14945	171026
GS14945	81740
GS14945	64198
GS14945	83834
GS14945	266777
GS14945	297508
GS14945	301255
GS14945	114017
GS14945	295365
GS14945	362418
GS14945	24750
GS14946	25383
GS14946	24223
GS14946	25661
GS14946	25675
GS14946	25589
GS14946	24737
GS14946	497770
GS14946	58835
GS14946	114858
GS14946	64462
GS14946	685781
GS14946	83789
GS14946	79114
GS14946	60442
GS14946	59319
GS14946	114507
GS14946	308923
GS14946	308993
GS14946	361813
GS14946	300850
GS14947	25288
GS14947	24179
GS14947	498549
GS14947	24192
GS14947	25095
GS14947	25612
GS14947	29619
GS14947	24248
GS14947	25145
GS14947	24259
GS14947	25420
GS14947	25319
GS14947	24387
GS14947	25165
GS14947	24534
GS14947	25211
GS14947	24587
GS14947	309622
GS14947	25541
GS14947	25357
GS14947	29672
GS14947	58844
GS14947	29139
GS14947	29562
GS14947	83526
GS14947	83465
GS14947	65047
GS14947	81643
GS14947	155918
GS14947	24644
GS14947	114901
GS14947	116967
GS14947	114108
GS14947	81921
GS14947	60460
GS14947	64514
GS14947	171026
GS14947	81740
GS14947	64198
GS14947	83834
GS14947	266777
GS14947	297508
GS14947	301255
GS14947	114017
GS14947	308923
GS14947	295365
GS14947	362418
GS14947	24750
GS14948	25383
GS14948	24223
GS14948	25402
GS14948	25661
GS14948	25675
GS14948	25589
GS14948	24914
GS14948	25520
GS14948	497770
GS14948	25123
GS14948	60423
GS14948	29432
GS14948	58835
GS14948	59073
GS14948	114858
GS14948	64462
GS14948	117042
GS14948	685781
GS14948	83789
GS14948	79114
GS14948	64633
GS14948	60442
GS14948	59319
GS14948	114507
GS14948	308923
GS14948	308993
GS14948	361813
GS14948	300850
GS14948	316051
GS18838	29711
GS18838	29154
GS18838	25729
GS18838	54236
GS18838	24251
GS18838	24264
GS18838	25261
GS18838	25488
GS18838	25069
GS18838	54315
GS18838	29558
GS18838	29143
GS18838	59076
GS18838	59296
GS18838	79563
GS18838	140657
GS18838	83764
GS18838	81738
GS18838	117042
GS18838	365398
GS18838	114517
GS18838	259273
GS18838	338401
GS18838	361745
GS18838	290408
GS18838	290046
GS18838	360579
GS18838	301514
GS18838	295347
GS18838	301529
GS18838	103691072
GS18840	25230
GS18840	24189
GS18840	25239
GS18840	24223
GS18840	29156
GS18840	25621
GS18840	25275
GS18840	25282
GS18840	24400
GS18840	25058
GS18840	25179
GS18840	25328
GS18840	29332
GS18840	50689
GS18840	24908
GS18840	25545
GS18840	25550
GS18840	24804
GS18840	25576
GS18840	29411
GS18840	29167
GS18840	29276
GS18840	29271
GS18840	58971
GS18840	140694
GS18840	81504
GS18840	83809
GS18840	94270
GS18840	81741
GS18840	114124
GS18840	50993
GS18840	245981
GS18840	64298
GS18840	81747
GS18840	64310
GS18840	83801
GS18840	83834
GS18840	64303
GS18840	282819
GS18840	259242
GS18840	296658
GS216158	25288
GS216158	24186
GS216158	25698
GS216158	497840
GS216158	24962
GS216158	24399
GS216158	29318
GS216158	79219
GS216158	64120
GS216158	29539
GS216158	117254
GS216158	59108
GS216158	64001
GS216158	310218
GS216158	450225
GS216158	100134871
GS246645	24180
GS246645	25028
GS246645	25292
GS246645	24232
GS246645	24249
GS246645	25406
GS246645	50566
GS246645	29277
GS246645	25633
GS246645	25194
GS246645	24418
GS246645	24464
GS246645	24484
GS246645	24495
GS246645	25262
GS246645	24530
GS246645	25157
GS246645	24674
GS246645	25725
GS246645	25023
GS246645	25527
GS246645	309622
GS246645	25703
GS246645	25616
GS246645	25542
GS246645	50683
GS246645	24796
GS246645	24825
GS246645	24856
GS246645	301348
GS246645	29737
GS246645	58979
GS246645	29588
GS246645	63885
GS246645	170546
GS246645	81780
GS246645	65193
GS246645	78956
GS246645	113902
GS246645	117095
GS246645	83842
GS246645	81661
GS246645	64536
GS246645	64532
GS246645	116724
GS246645	84472
GS246645	192228
GS246645	59085
GS246645	84400
GS246645	252962
GS246645	81523
GS246645	64551
GS246645	170635
GS246645	58812
GS246645	114028
GS246645	81511
GS246645	171447
GS246645	81682
GS246645	171519
GS246645	192362
GS246645	192227
GS246645	171564
GS246645	170751
GS246645	246327
GS246645	171549
GS246645	171351
GS246645	299757
GS246645	60418
GS246645	171099
GS246645	266735
GS246645	252922
GS246645	50664
GS246645	246298
GS246645	286918
GS246645	282580
GS246645	291103
GS246645	282829
GS246645	266713
GS246645	246323
GS246645	81816
GS246645	81827
GS246645	246273
GS246645	56825
GS246645	290985
GS246645	378794
GS246645	117140
GS246645	297645
GS246645	252855
GS246645	294973
GS246645	310327
GS246645	293180
GS246645	360903
GS246645	361873
GS246645	311551
GS246645	362284
GS246645	444983
GS246645	362039
GS246645	315761
GS246645	311311
GS246645	295669
GS246645	316153
GS246645	362455
GS246645	314196
GS246645	296284
GS246645	310694
GS246645	301016
GS246645	362132
GS246645	293654
GS246645	292699
GS246645	290533
GS246645	293624
GS246645	304407
GS246645	309887
GS246645	306687
GS246645	363872
GS246645	314459
GS246645	297480
GS246645	308993
GS246645	306157
GS246645	291848
GS246645	360866
GS246645	310787
GS246645	306534
GS246645	361037
GS246645	300763
GS246645	316351
GS246645	301309
GS246645	303214
GS246645	310218
GS246645	305354
GS246645	362113
GS246645	309070
GS246645	361845
GS246645	364378
GS246645	306141
GS246645	309139
GS246645	295863
GS246645	289241
GS246645	293794
GS246645	366116
GS246645	362430
GS246645	361099
GS246645	304807
GS246645	307414
GS246645	362626
GS246645	363337
GS246645	450230
GS246645	360910
GS246645	361171
GS246645	307660
GS246645	306805
GS246645	301155
GS246645	291844
GS246645	499322
GS246645	288006
GS246645	310670
GS246645	299027
GS246645	499882
GS246645	304530
GS246645	498486
GS246645	363781
GS246645	302711
GS246645	360692
GS246645	315163
GS246645	308990
GS246645	497891
GS246645	502225
GS246645	290300
GS246645	291444
GS246645	500300
GS246645	307989
GS246645	688628
GS246645	680448
GS246645	499110
GS246645	363153
GS246645	689161
GS246645	100365921
GS246645	100359680
GS246645	100911379
GS246646	25028
GS246646	25292
GS246646	24464
GS246646	25662
GS246646	24536
GS246646	25603
GS246646	25478
GS246646	25332
GS246646	252924
GS246646	24618
GS246646	25741
GS246646	25031
GS246646	309622
GS246646	24737
GS246646	25703
GS246646	25546
GS246646	24848
GS246646	25569
GS246646	29465
GS246646	29393
GS246646	58965
GS246646	29689
GS246646	64443
GS246646	170538
GS246646	65129
GS246646	29237
GS246646	85426
GS246646	78956
GS246646	170496
GS246646	83842
GS246646	64347
GS246646	79110
GS246646	117130
GS246646	84588
GS246646	116724
GS246646	84472
GS246646	84493
GS246646	64507
GS246646	192228
GS246646	59109
GS246646	81512
GS246646	81707
GS246646	84012
GS246646	245955
GS246646	81510
GS246646	171058
GS246646	81776
GS246646	192227
GS246646	171564
GS246646	170751
GS246646	246327
GS246646	171549
GS246646	113892
GS246646	140675
GS246646	116557
GS246646	60418
GS246646	171339
GS246646	252922
GS246646	246253
GS246646	246298
GS246646	286918
GS246646	282580
GS246646	291103
GS246646	282829
GS246646	266803
GS246646	312495
GS246646	246172
GS246646	81827
GS246646	171161
GS246646	312086
GS246646	444983
GS246646	361795
GS246646	289780
GS246646	291463
GS246646	303874
GS246646	362039
GS246646	294806
GS246646	292311
GS246646	307757
GS246646	366366
GS246646	362455
GS246646	291091
GS246646	363144
GS246646	312566
GS246646	361415
GS246646	362508
GS246646	311071
GS246646	297486
GS246646	294400
GS246646	304407
GS246646	306687
GS246646	314224
GS246646	294795
GS246646	288029
GS246646	306534
GS246646	361037
GS246646	304021
GS246646	300763
GS246646	361637
GS246646	303214
GS246646	361884
GS246646	308794
GS246646	361431
GS246646	363796
GS246646	305449
GS246646	289241
GS246646	293794
GS246646	295341
GS246646	361099
GS246646	304807
GS246646	293494
GS246646	301155
GS246646	291844
GS246646	499322
GS246646	499878
GS246646	293061
GS246646	498278
GS246646	307096
GS246646	360692
GS246646	499702
GS246646	296612
GS246646	301742
GS246646	679869
GS246646	619581
GS246646	304929
GS246646	654482
GS246646	58827
GS246646	689256
GS246646	685325
GS246646	309603
GS246646	689161
GS246646	100362279
GS246647	25287
GS246647	25240
GS246647	24216
GS246647	24232
GS246647	25194
GS246647	24464
GS246647	24737
GS246647	25703
GS246647	24796
GS246647	24825
GS246647	24856
GS246647	60422
GS246647	78956
GS246647	83842
GS246647	116724
GS246647	84472
GS246647	64507
GS246647	294853
GS246647	59085
GS246647	171100
GS246647	84024
GS246647	59109
GS246647	192270
GS246647	116831
GS246647	84398
GS246647	170751
GS246647	246327
GS246647	171351
GS246647	192253
GS246647	299757
GS246647	94341
GS246647	60418
GS246647	252922
GS246647	246298
GS246647	286918
GS246647	291103
GS246647	282829
GS246647	81827
GS246647	64027
GS246647	290985
GS246647	312086
GS246647	311551
GS246647	362039
GS246647	294806
GS246647	362455
GS246647	360605
GS246647	309440
GS246647	306687
GS246647	306534
GS246647	310392
GS246647	361037
GS246647	361637
GS246647	303214
GS246647	309070
GS246647	361845
GS246647	297738
GS246647	305449
GS246647	289241
GS246647	293794
GS246647	361099
GS246647	287167
GS246647	293494
GS246647	301155
GS246647	291844
GS246647	499322
GS246647	498572
GS246647	315163
GS246647	690161
GS246647	686081
GS246647	619581
GS246647	361619
GS246761	24153
GS246761	25288
GS246761	24159
GS246761	29290
GS246761	29412
GS246761	25372
GS246761	24180
GS246761	24184
GS246761	29223
GS246761	25233
GS246761	24186
GS246761	24203
GS246761	25380
GS246761	363256
GS246761	54225
GS246761	25292
GS246761	24208
GS246761	29221
GS246761	25243
GS246761	29403
GS246761	25612
GS246761	25698
GS246761	25389
GS246761	24211
GS246761	29693
GS246761	25391
GS246761	29725
GS246761	29592
GS246761	294257
GS246761	25644
GS246761	29618
GS246761	29619
GS246761	24230
GS246761	24232
GS246761	24236
GS246761	24237
GS246761	54231
GS246761	54232
GS246761	25398
GS246761	24246
GS246761	25050
GS246761	29144
GS246761	29153
GS246761	29154
GS246761	29209
GS246761	24248
GS246761	25298
GS246761	25706
GS246761	25145
GS246761	25668
GS246761	25407
GS246761	25409
GS246761	54238
GS246761	24260
