geneset	term
GS14914	D020869
GS14914	D013812
GS14914	D051381
GS14914	D002477
GS14914	D009020
GS14914	D005786
GS14914	MA:0000059
GS14914	MA:0000059
GS14914	MA:0000168
GS14914	GO:0010467
GS14914	D012926
GS14914	D001921
GS14914	D000818
GS14914	D010770
GS14914	D019966
GS14914	D020869
GS14914	D013812
GS14914	D013995
GS14914	D051381
GS14914	D020411
GS14914	D002477
GS14914	D009294
GS14914	D001773
GS14914	D009020
GS14914	D007267
GS14914	MA:0000168
GS14914	MP:0002555
GS14914	GO:0010467
GS14914	D005786
GS14914	D000704
GS14914	D013997
GS14914	D019966
GS14914	D013375
GS14915	D000818
GS14915	GO:0005634
GS14915	GO:0005634
GS14915	D016133
GS14915	D017208
GS14915	D016133
GS14915	D013375
GS14915	D018847
GS14915	D005786
GS14915	GO:0010467
GS14915	D009714
GS14915	D009020
GS14915	D020869
GS14915	D018377
GS14915	D004364
GS14915	D051381
GS14915	D018377
GS14915	D013995
GS14915	GO:0010467
GS14915	D009020
GS14915	D017874
GS14915	D051381
GS14915	D017781
GS14915	D058028
GS14915	D015203
GS14915	D009473
GS14915	D009473
GS14915	D009714
GS14915	D012718
GS14915	D009435
GS14915	D009021
GS14915	D014157
GS14915	D009020
GS14915	D001522
GS14915	D051381
GS14915	D003199
GS14915	D000222
GS14915	D012094
GS14915	D009714
GS14915	D009419
GS14927	GO:0010467
GS14927	D009830
GS14927	D020133
GS14927	D009812
GS14927	D016501
GS14927	GO:0005623
GS14927	D000431
GS14927	D000293
GS14927	D009435
GS14927	D000293
GS14927	D004032
GS14927	D005680
GS14927	D051381
GS14927	D020318
GS14927	D009830
GS14927	GO:0048149
GS14927	D012313
GS14927	D009035
GS14927	GO:0007268
GS14927	D051381
GS14927	GO:0030424
GS14927	D001522
GS14927	D012313
GS14927	D000328
GS14927	D000328
GS14927	D000431
GS14927	D011297
GS14927	D009435
GS14927	D002477
GS14927	D005333
GS14927	GO:0045471
GS14927	D051381
GS14927	D004032
GS14927	D000431
GS14927	D020869
GS14927	D012377
GS14927	D046228
GS14927	D000818
GS14927	GO:0010467
GS14927	D000818
GS14927	D007223
GS14927	D000428
GS14927	D009830
GS14927	D001369
GS14927	D011247
GS14927	MA:0000194
GS14927	D009812
GS14927	D009435
GS14927	D012903
GS14927	D008722
GS14927	MA:0000194
GS14928	D012903
GS14928	MA:0000194
GS14928	D000431
GS14928	GO:0048149
GS14928	D016501
GS14928	D000293
GS14928	GO:0030424
GS14928	MA:0000194
GS14928	GO:0007268
GS14928	D012313
GS14928	D012313
GS14928	D009830
GS14928	D008722
GS14928	D009830
GS14928	D051381
GS14928	D009830
GS14928	D046228
GS14928	D009435
GS14928	GO:0010467
GS14928	D000818
GS14928	D020869
GS14928	D051381
GS14928	D002477
GS14928	D004032
GS14928	D007223
GS14928	D012377
GS14928	D004032
GS14928	D000431
GS14928	D009435
GS14928	GO:0010467
GS14928	D005333
GS14928	D020133
GS14928	D009812
GS14928	D005680
GS14928	D020318
GS14928	D000328
GS14928	D000328
GS14928	D009035
GS14928	D051381
GS14928	D001522
GS14928	D009435
GS14928	GO:0045471
GS14928	D000431
GS14928	D011297
GS14928	GO:0005623
GS14928	D000818
GS14928	D000428
GS14928	D001369
GS14928	D000293
GS14928	D009812
GS14928	D011247
GS14929	GO:0007268
GS14929	D000679
GS14929	GO:0022008
GS14929	GO:0010467
GS14929	GO:0050801
GS14929	D008959
GS14929	D055495
GS14929	D009714
GS14929	D020133
GS14929	GO:0005634
GS14929	D020411
GS14929	D008960
GS14929	D009714
GS14929	D006706
GS14929	D006706
GS14929	D011919
GS14929	D009714
GS14929	D000679
GS14929	D009435
GS14929	D012439
GS14929	D014867
GS14929	D012313
GS14929	D012718
GS14929	D003216
GS14929	D016424
GS14929	D012439
GS14929	GO:0005634
GS14929	D000431
GS14929	MA:0000887
GS14929	GO:0005623
GS14929	D000818
GS14929	D000437
GS14929	D012646
GS14929	D002477
GS14929	D051381
GS14929	D046228
GS14929	D000818
GS14929	GO:0010467
GS14929	D000431
GS14929	D051381
GS14929	D051379
GS14929	D051381
GS14929	D000431
GS14930	D012646
GS14930	D002477
GS14930	GO:0005634
GS14930	D009714
GS14930	D051379
GS14930	MA:0000887
GS14930	D000431
GS14930	D003216
GS14930	D006706
GS14930	D009714
GS14930	GO:0010467
GS14930	D008960
GS14930	D000818
GS14930	D051381
GS14930	MA:0000887
GS14930	D000679
GS14930	GO:0050801
GS14930	D051381
GS14930	D006706
GS14930	D046228
GS14930	D000818
GS14930	GO:0005623
GS14930	D011919
GS14930	D020411
GS14930	D008959
GS14930	GO:0022008
GS14930	GO:0007268
GS14930	D000431
GS14930	D012439
GS14930	D055495
GS14930	D000679
GS14930	D009435
GS14930	GO:0010467
GS14930	D051381
GS14930	D016424
GS14930	D000679
GS14930	D000431
GS14930	D012439
GS14930	D000437
GS14930	D014867
GS14930	D012313
GS14930	D012718
GS14930	D020133
GS14945	D009714
GS14945	D000679
GS14945	D000679
GS14945	D002421
GS14945	D000428
GS14945	D001921
GS14945	D012926
GS14945	GO:0010467
GS14945	MA:0000168
GS14945	D051381
GS14945	MA:0000895
GS14945	D016923
GS14945	GO:0030424
GS14945	D025341
GS14945	D009479
GS14945	GO:0043067
GS14945	GO:0008219
GS14945	MA:0000893
GS14945	D016424
GS14945	D001921
GS14945	GO:0050807
GS14945	D000200
GS14945	D012718
GS14945	D051381
GS14945	GO:0043069
GS14945	D020133
GS14945	D046228
GS14945	D016014
GS14945	GO:0019226
GS14945	D011699
GS14945	D006624
GS14945	D009479
GS14945	D015203
GS14945	D004326
GS14945	D051381
GS14945	D002477
GS14945	D006624
GS14945	MA:0000168
GS14945	D011919
GS14945	D001369
GS14945	GO:0007411
GS14945	GO:0045202
GS14945	MA:0000191
GS14945	GO:0010467
GS14945	GO:0042063
GS14945	D009714
GS14945	D003643
GS14945	D053263
GS14945	D009478
GS14945	D013569
GS14945	D011699
GS14945	D000428
GS14945	D001923
GS14945	D000818
GS14945	MA:0000905
GS14945	D000328
GS14945	MA:0000905
GS14945	GO:0016265
GS14945	GO:0005634
GS14945	D020869
GS14945	D016000
GS14945	MA:0000887
GS14945	D009419
GS14945	GO:0012501
GS14945	MA:0000217
GS14945	GO:0005623
GS14945	D020411
GS14946	D009714
GS14946	GO:0042063
GS14946	D020411
GS14946	D051381
GS14946	GO:0005623
GS14946	MA:0000217
GS14946	MA:0000887
GS14946	D013569
GS14946	D009478
GS14946	D006624
GS14946	D001921
GS14946	D020869
GS14946	D051381
GS14946	MA:0000168
GS14946	GO:0010467
GS14946	D012926
GS14946	D001921
GS14946	D000428
GS14946	D046228
GS14946	D051381
GS14946	D002477
GS14946	D006624
GS14946	MA:0000168
GS14946	MA:0000191
GS14946	GO:0010467
GS14946	D020869
GS14946	GO:0045202
GS14946	GO:0007411
GS14946	D001369
GS14946	D000200
GS14946	D012718
GS14946	D053263
GS14946	D000428
GS14946	D000818
GS14946	D001923
GS14946	D016014
GS14946	GO:0019226
GS14946	D016000
GS14946	D004326
GS14946	D009479
GS14946	D016424
GS14946	MA:0000893
GS14946	GO:0008219
GS14946	GO:0043067
GS14946	D009479
GS14946	GO:0030424
GS14946	D016923
GS14946	D025341
GS14946	D015203
GS14946	D011919
GS14946	MA:0000905
GS14946	D000328
GS14946	MA:0000905
GS14946	GO:0016265
GS14946	D020133
GS14946	MA:0000895
GS14946	GO:0050807
GS14946	GO:0043069
GS14946	D003643
GS14946	GO:0005634
GS14946	GO:0012501
GS14946	D009419
GS14946	D011699
GS14946	D011699
GS14946	D002421
GS14946	D000679
GS14946	D000679
GS14946	D009714
GS14947	D000818
GS14947	D016000
GS14947	D016014
GS14947	D001923
GS14947	GO:0019226
GS14947	D020411
GS14947	D000679
GS14947	D051381
GS14947	GO:0005623
GS14947	MA:0000217
GS14947	MA:0000887
GS14947	D002421
GS14947	D013569
GS14947	D009478
GS14947	D011699
GS14947	D006624
GS14947	D001921
GS14947	D020869
GS14947	D051381
GS14947	D000431
GS14947	MA:0000168
