geneset	gene
GS1229	8481
GS1229	3326
GS1229	7163
GS1229	5438
GS1229	138151
GS1229	3398
GS1229	5142
GS1229	5128
GS1229	1968
GS1229	6189
GS1229	5911
GS1229	26275
GS1229	6134
GS1229	7048
GS1229	800
GS1229	8659
GS1229	5691
GS1229	203068
GS1229	9114
GS1229	79026
GS1229	3730
GS1229	23414
GS1229	273
GS1229	9045
GS1229	3679
GS1229	8613
GS1229	3094
GS1229	9520
GS1229	7145
GS1229	4915
GS1229	9805
GS1229	221
GS1229	2247
GS1229	54539
GS1229	6422
GS1229	4821
GS1229	2890
GS1229	112479
GS1229	65018
GS1229	56672
GS1229	57728
GS1229	501
GS1229	5087
GS1229	116984
GS1229	3150
GS1229	4780
GS1229	79095
GS1229	4728
GS1229	10383
GS1229	60487
GS1229	51065
GS1229	23499
GS1229	81849
GS1229	4674
GS1229	55041
GS1229	5311
GS1229	4259
GS1229	11341
GS1229	5698
GS1229	260294
GS1229	81669
GS1229	2806
GS1229	4696
GS1229	1466
GS1229	51747
GS1229	25837
GS1229	1052
GS1229	26118
GS1229	4854
GS1229	9519
GS1229	4190
GS1229	9814
GS1229	6633
GS1229	51079
GS1229	351
GS1229	89927
GS1229	79443
GS1229	3691
GS1229	23176
GS1229	7105
GS1229	6046
GS1229	2773
GS1229	4616
GS1229	6253
GS1229	51642
GS1229	28959
GS1229	3710
GS1229	3508
GS1229	653784
GS1229	54918
GS1229	23405
GS1229	10955
GS1229	65125
GS1229	9429
GS1229	9270
GS1229	5352
GS1229	5901
GS1229	9749
GS1229	57088
GS1229	10181
GS1229	3895
GS1229	9510
GS1229	5375
GS1229	10180
GS1229	57035
GS1229	9688
GS1229	201229
GS1229	2029
GS1229	5414
GS1229	55657
GS1229	6894
GS1229	3191
GS1229	2670
GS1229	133
GS1229	79724
GS1229	64114
GS1229	25813
GS1229	51751
GS1229	2983
GS1229	6857
GS1229	9847
GS1229	8773
GS1229	23022
GS1229	840
GS1229	3308
GS1229	10677
GS1229	59353
GS1229	10657
GS1229	5230
GS1229	6480
GS1229	10443
GS1229	4155
GS1229	355
GS1229	64780
GS1229	9765
GS1229	5209
GS1229	533
GS1229	6750
GS1229	784
GS1229	604
GS1229	51626
GS1229	59
GS1229	29760
GS1229	23085
GS1229	90410
GS1229	85453
GS1229	81887
GS1229	3930
GS1229	5631
GS1229	8106
GS1229	80279
GS1229	1910
GS1229	358
GS1229	6909
GS1229	26471
GS1229	7169
GS1229	7416
GS1229	55743
GS1229	4905
GS1229	2785
GS1229	9118
GS1229	7175
GS1229	9843
GS1229	23117
GS1229	972
GS1229	5573
GS1229	79772
GS1229	4345
GS1229	2744
GS1229	51504
GS1229	7351
GS1229	59286
GS1229	3782
GS1229	79101
GS1229	377
GS1229	64581
GS1229	4638
GS1229	9987
GS1229	9581
GS1229	53829
GS1229	23263
GS1229	1848
GS1229	4900
GS1229	6464
GS1229	1294
GS1229	29937
GS1229	5912
GS1229	5788
GS1229	55691
GS1229	51138
GS1229	25854
GS1229	187
GS1229	3113
GS1229	8668
GS1229	79085
GS1229	10084
GS1229	64577
GS1229	6159
GS1229	286205
GS1229	79622
GS1229	6314
GS1229	1917
GS1229	3735
GS1229	171586
