node_from	from_biotype	node_to	to_biotype	probability	p
3356		170572		0.001418828046612	0.0009990009990009
3356		200909		0.0016988593775442	0.0009990009990009
3356		3360		0.0039936046529096	0.0009990009990009
3356		3356		0.2502625415482286	0.0009990009990009
3356		283554		0.0012028990530124	0.0019980019980019
3356		386618		0.0010784680031646	0.0019980019980019
3356		90226		0.0015457749837876	0.0019980019980019
3356		267012		0.0012223074139884	0.0019980019980019
3356		1325		0.001150722821683	0.0029970029970029
3356		594857		0.0011467807187349	0.0049950049950049
3356		333926		0.0012519325462769	0.0059940059940059
3356		125893		0.0013966497670991	0.0059940059940059
3356		284459		0.0017018393317878	0.0079920079920079
255239		255239		0.2502421263042262	0.0009990009990009
255239		9674		0.0012557971839657	0.0019980019980019
255239		6988		0.0020550021264494	0.0029970029970029
255239		284417		0.002007851243612	0.0039960039960039
255239		374879		0.0016042424437674	0.0039960039960039
255239		653583		0.0012423363499257	0.0039960039960039
255239		386724		0.0035446976897397	0.0039960039960039
255239		56100		0.0013582891062486	0.0039960039960039
255239		283298		0.0011253565999754	0.0039960039960039
255239		56110		0.0013989179159752	0.0049950049950049
255239		339665		0.0010792083495564	0.0059940059940059
255239		221711		0.0014416149460102	0.0069930069930069
255239		50835		0.002017606102502	0.0069930069930069
255239		283232		0.001147656823735	0.0079920079920079
885		4295		0.0015644492714534	0.0009990009990009
885		2862		0.0010783167485175	0.0009990009990009
885		594857		0.0013198914389004	0.0009990009990009
885		257313		0.001290819477938	0.0009990009990009
885		94027		0.0012426070398311	0.0009990009990009
885		85569		0.0011910291963707	0.0009990009990009
885		2694		0.0011615528894308	0.0009990009990009
885		283869		0.0015510034896352	0.0009990009990009
885		129521		0.0014299324437857	0.0009990009990009
885		8620		0.0010852265905603	0.0009990009990009
885		163882		0.0018643451547161	0.0009990009990009
885		347148		0.0012013770101355	0.0009990009990009
885		90226		0.0016806148309566	0.0009990009990009
885		885		0.2503305030693342	0.0009990009990009
885		100271715		0.0015238320860864	0.0019980019980019
885		64111		0.001329974807236	0.0019980019980019
885		51052		0.0011027492348829	0.0019980019980019
885		221424		0.0014650474931338	0.0019980019980019
885		342898		0.0011484158543083	0.0019980019980019
885		8484		0.0011801000271733	0.0019980019980019
885		1325		0.0013111364729276	0.0019980019980019
885		4828		0.0010976701891275	0.0019980019980019
885		387597		0.0011451737233305	0.0029970029970029
885		117579		0.0011105457459122	0.0029970029970029
885		375318		0.0020896510614552	0.0029970029970029
885		727857		0.001277061610437	0.0049950049950049
885		5726		0.0010917743415236	0.0059940059940059
885		408263		0.0012658196922041	0.0059940059940059
885		401647		0.0010764613236191	0.0059940059940059
885		50832		0.001132803519182	0.0069930069930069
885		730130		0.0013541973237234	0.0069930069930069
885		54429		0.0014801032591521	0.0069930069930069
885		50835		0.0021875539668482	0.0099900099900099
12		12		0.2503072184058776	0.0009990009990009
12		6038		0.0013788780360475	0.0009990009990009
12		54964		0.0050648425679783	0.0019980019980019
12		5276		0.0012381127012542	0.0019980019980019
12		647174		0.0013924634630841	0.0019980019980019
12		152405		0.001580108822966	0.0029970029970029
12		149018		0.0020373401458737	0.0029970029970029
12		389161		0.0026866901821731	0.0029970029970029
12		3078		0.001105848543398	0.0029970029970029
12		219970		0.0020210561773319	0.0029970029970029
12		245913		0.0015392675378448	0.0029970029970029
12		643394		0.0017859268025848	0.0029970029970029
12		4246		0.0013577357859011	0.0039960039960039
12		144809		0.0023708568448029	0.0039960039960039
12		149499		0.0020349495649837	0.0039960039960039
12		10648		0.0010866468351014	0.0039960039960039
12		340602		0.0035770912275906	0.0039960039960039
12		80262		0.0013981875889817	0.0069930069930069
12		1473		0.0011035581233078	0.0069930069930069
12		8749		0.00137274176654	0.0079920079920079
7442		7442		0.2505178244071976	0.0009990009990009
7442		441027		0.0013261385887543	0.0009990009990009
7442		9127		0.0014416308204511	0.0009990009990009
7442		27039		0.0014211305650417	0.0009990009990009
7442		117245		0.0013626724859436	0.0009990009990009
7442		5032		0.0019756053369064	0.0009990009990009
7442		117195		0.0020479014377084	0.0009990009990009
7442		348801		0.0018133182747857	0.0019980019980019
7442		117196		0.0030377491491697	0.0019980019980019
7442		5726		0.0010961068674437	0.0019980019980019
7442		117194		0.0013691827877121	0.0029970029970029
7442		797		0.0011282460475815	0.0029970029970029
7442		818		0.0022887031219447	0.0029970029970029
7442		259249		0.0016304621441877	0.0029970029970029
7442		50831		0.0013997658429396	0.0029970029970029
7442		10887		0.0014377272608892	0.0029970029970029
7442		55108		0.0011703072321183	0.0039960039960039
7442		221391		0.0011184040162436	0.0039960039960039
7442		5623		0.0011870126084528	0.0039960039960039
7442		4295		0.0013889460437715	0.0049950049950049
7442		2854		0.0015910622371997	0.0049950049950049
7442		259290		0.0021522810329443	0.0059940059940059
7442		50840		0.0013558472637388	0.0059940059940059
7442		113091		0.0014094555888406	0.0069930069930069
2908		84970		0.0041782315973177	0.0009990009990009
2908		401137		0.0073834450421677	0.0009990009990009
2908		8603		0.0017266555754613	0.0009990009990009
2908		2908		0.2502775754572826	0.0009990009990009
2908		440712		0.0023316555200712	0.0009990009990009
2908		79798		0.0012316049048371	0.0009990009990009
2908		353219		0.0034612861189402	0.0009990009990009
2908		90799		0.0016300639562304	0.0009990009990009
2908		53827		0.0013145144702682	0.0009990009990009
2908		493861		0.0013213530273638	0.0019980019980019
2908		163126		0.0012671582609812	0.0019980019980019
2908		55908		0.0014369692904458	0.0019980019980019
2908		10795		0.0016949766237343	0.0019980019980019
2908		7789		0.0011290255578368	0.0019980019980019
2908		91298		0.0016359307295347	0.0019980019980019
2908		284459		0.0017795156302562	0.0019980019980019
2908		5763		0.0015553491973199	0.0019980019980019
2908		153770		0.0020194170424245	0.0019980019980019
2908		79692		0.0010782339646432	0.0019980019980019
2908		54466		0.0024272286415102	0.0019980019980019
2908		11319		0.0011405799853224	0.0019980019980019
2908		92595		0.0017343886342686	0.0019980019980019
2908		30832		0.001089899387279	0.0019980019980019
2908		222696		0.0012395177289013	0.0019980019980019
2908		79364		0.001152548314519	0.0029970029970029
2908		118924		0.0018038569770703	0.0029970029970029
2908		6019		0.0019000422344322	0.0029970029970029
2908		79447		0.0014345539230035	0.0029970029970029
2908		5673		0.0011943056566712	0.0029970029970029
2908		145483		0.0018061395764299	0.0039960039960039
2908		64111		0.0012397121583092	0.0039960039960039
2908		90226		0.0015888529412305	0.0039960039960039
2908		643226		0.0013867275353787	0.0049950049950049
1917		79025		0.0025739900336907	0.0009990009990009
1917		221143		0.001253715927315	0.0009990009990009
1917		81688		0.0015685561926222	0.0009990009990009
1917		57106		0.0013658091378131	0.0009990009990009
1917		64853		0.0023874352685729	0.0009990009990009
1917		55194		0.001448405719091	0.0009990009990009
1917		57095		0.0011347071938396	0.0009990009990009
1917		115572		0.0011908829962951	0.0009990009990009
1917		1917		0.2502646298711647	0.0009990009990009
1917		149345		0.0010793755965144	0.0019980019980019
1917		79609		0.0011046961706872	0.0019980019980019
1917		394263		0.0013274358586863	0.0019980019980019
1917		10071		0.0012609216392067	0.0019980019980019
1917		112495		0.0011349344460556	0.0019980019980019
1917		221424		0.0014890262035465	0.0019980019980019
1917		255275		0.002603790848397	0.0019980019980019
1917		2996		0.0011140767688539	0.0019980019980019
1917		348793		0.0017201052497176	0.0029970029970029
1917		192134		0.0013255586162829	0.0029970029970029
1917		284266		0.0015598931118856	0.0029970029970029
1917		10692		0.0011359212198127	0.0029970029970029
1917		55286		0.0017837362719361	0.0029970029970029
1917		30815		0.0015216035320573	0.0029970029970029
1917		284723		0.0010815639867895	0.0039960039960039
1917		7633		0.0011472867500582	0.0039960039960039
1917		399512		0.0011789829647162	0.0039960039960039
1917		340526		0.0011995237655912	0.0049950049950049
1917		84527		0.0022032346351115	0.0049950049950049
1917		152992		0.0013327909194021	0.0049950049950049
1917		196483		0.0010731778153245	0.0049950049950049
118429		118429		0.2503058926207119	0.0019980019980019
118429		55254		0.0013270020798824	0.0029970029970029
118429		124783		0.0014439470312134	0.0029970029970029
118429		93190		0.0035286356699787	0.0029970029970029
118429		92400		0.0029459644769029	0.0039960039960039
118429		80831		0.0018267251502435	0.0039960039960039
118429		402055		0.0015824596067979	0.0049950049950049
118429		64925		0.0013417352634008	0.0049950049950049
118429		8303		0.0011861602601439	0.0049950049950049
118429		90355		0.0014714365594213	0.0049950049950049
118429		389072		0.0011079161646118	0.0059940059940059
118429		155185		0.0012604463641895	0.0059940059940059
118429		10648		0.0010773041900152	0.0059940059940059
118429		55007		0.0012500788701629	0.0059940059940059
118429		100130988		0.0013018222001091	0.0069930069930069
118429		220002		0.0010981730530463	0.0069930069930069
118429		84885		0.0014329492794201	0.0069930069930069
118429		202134		0.001081925587259	0.0079920079920079
118429		389799		0.0027889648891118	0.0079920079920079
118429		283777		0.0015144724510509	0.0079920079920079
118429		64342		0.0011224235071639	0.0089910089910089
118429		285596		0.0011309144168432	0.0089910089910089
84871		114908		0.0018888992338755	0.0009990009990009
84871		84871		0.250348637161881	0.0009990009990009
84871		10877		0.0017671479435447	0.0019980019980019
84871		81494		0.0013405949879673	0.0019980019980019
84871		168975		0.0017773874475096	0.0029970029970029
