#rank	DIAMOnD_node	p_hyper
1	GS1132	4.798034073005375e-40
2	100169851	5.494417439722018e-30
3	130576	1.1466715386626659e-32
4	399967	1.1619527109957897e-35
5	160065	1.028141775337844e-38
6	130574	1.8491439296907638e-41
7	1145	1.3525859115000674e-44
8	432355	2.2728362057939524e-47
9	66004	1.3836367097080436e-50
10	8973	7.327383464981311e-54
11	399968	3.4557075588715444e-56
12	57152	5.395835827263916e-59
13	1144	8.369749595421992e-62
14	1136	9.486328545249098e-63
15	GO:0005515	2.405067577373979e-25
16	GS26305	1.3899415961775658e-24
17	GS248563	9.273185340083897e-21
18	124	3.0743123498857674e-20
19	222	1.8578200897386412e-22
20	218	9.480472009768111e-25
21	221	4.5791923784142625e-27
22	4129	3.543679614824602e-28
23	130	7.527253383567752e-30
24	127	4.108976665007407e-32
25	128	2.1532664665502503e-34
26	220074	8.760916528210652e-34
27	221357	1.2809962190560512e-32
28	2947	1.0827843463164235e-34
29	119391	9.16424684235934e-37
30	4258	1.339177458571322e-38
31	2939	2.3000436356610835e-40
32	4257	9.443452173957035e-43
33	2941	2.6091666322340927e-45
34	2938	1.0007281684472581e-47
35	2946	2.5014073972381007e-50
36	2940	5.897556364368251e-53
37	9446	1.3131149985140783e-55
38	653689	4.430600209785514e-58
39	2950	1.4691937166011722e-60
40	4259	2.9060613994934074e-63
41	2948	9.208685480306932e-66
42	2953	2.877354270759126e-68
43	2949	1.5254119691071927e-70
44	373156	8.768543237572111e-69
45	1576	4.371374148674052e-57
46	2052	1.4673885890599978e-58
47	1572	5.167108361410008e-60
48	29785	2.756217798165107e-59
49	1559	2.7639938191237768e-61
50	1543	2.9212087034325364e-60
51	1555	1.4989970937283236e-62
52	1549	3.8683104987612145e-65
53	1544	2.4903815844705244e-66
54	1548	7.899040214041464e-69
55	1553	9.770661280542128e-68
56	1545	1.194328553081935e-61
57	51060	1.2610776864277e-53
58	124975	2.1317534868645345e-53
59	493869	3.4682788187236487e-56
60	2686	1.4200875260307697e-58
61	2882	4.869137919145032e-61
62	79094	7.95286352799336e-64
63	2880	8.243260636015419e-67
64	257202	1.6599181317675852e-69
65	2878	2.0330852433239166e-72
66	10314	1.5110864222031094e-75
67	2877	7.645234061749586e-79
68	2876	1.4426745402770827e-81
69	494143	1.2788560213498164e-84
70	2937	1.0576749761149374e-85
71	2678	1.3385365606408016e-88
72	2687	4.4984058124917095e-89
73	9588	1.297316035448632e-78
74	2936	1.0278556575087226e-77
75	2879	2.6525057144041086e-72
76	10720	1.9878503308412235e-44
77	54579	6.956931392044712e-45
78	54575	2.973002345063485e-47
79	54659	1.2067404942810344e-49
80	54658	4.65856541479908e-52
81	54577	1.71250981454107e-54
82	54600	6.001077480913492e-57
83	54576	2.006633292929806e-59
84	7365	9.653552366862687e-62
85	54578	4.5662349263978794e-64
86	79799	1.3799652697290598e-66
87	574537	6.258023889987999e-69
88	7363	2.7976850372468743e-71
89	7367	7.70552316381241e-74
90	10941	2.0370946394324055e-76
91	7364	8.576763157398513e-79
92	54490	2.1297235721373805e-81
93	7366	5.083732043206982e-84
94	54657	3.49903023634439e-86
95	216	1.049032551356639e-80
96	220	3.2448752363948337e-83
97	8854	4.8657625731055027e-85
98	1592	6.479588888356596e-86
99	1562	1.6265131345515586e-81
100	340665	1.5498211139678246e-83
101	56603	1.5026790829869214e-85
102	100861540	1.2971743720555643e-87
103	316	1.1883427326678228e-89
104	54905	1.359934566570969e-89
105	1551	2.9178067190990012e-92
