#rank	DIAMOnD_node	p_hyper
1	GS1132	7.141704925791725e-33
2	GS248563	1.1193217857695038e-25
3	GO:0005515	1.2328881236711342e-23
4	4790	4.9423477331936703e-23
5	5970	2.893210744915515e-23
6	2353	2.610794230814184e-19
7	3727	4.070543393001937e-20
8	3725	1.6831884352026004e-21
9	2354	6.507391414486796e-23
10	8061	8.193428811896267e-25
11	6361	1.9667273705192076e-24
12	2919	2.0818450708189766e-26
13	6374	2.1826513084404254e-28
14	6364	1.1774870609854319e-30
15	6372	5.918711011726789e-33
16	6354	4.6026725516493034e-35
17	2920	1.410545934040677e-35
18	2921	5.939369609219371e-38
19	6349	3.238393564410575e-36
20	9560	1.6857142753629607e-38
21	6351	7.162451895642003e-40
22	388372	3.5428414700531996e-41
23	414062	1.6721104573352222e-43
24	6348	7.681961980456604e-46
25	6352	1.0477911667253742e-47
26	7852	1.7162166391007422e-46
27	6846	1.639159905596454e-46
28	6367	4.565140700703114e-49
29	5197	1.1970050392065783e-51
30	5473	2.958380582480992e-54
31	6362	1.1259546170018988e-56
32	6360	2.541446731633797e-59
33	9547	4.249684991492693e-61
34	6357	2.6222176955845017e-63
35	6370	9.750512729446575e-66
36	4283	2.0994143987486746e-68
37	6355	7.492604349583475e-71
38	10563	2.086446937724013e-73
39	10850	3.212953790500422e-76
40	6359	4.679748792496016e-79
41	56477	1.3706949819132864e-81
42	6358	1.8446516110342014e-84
43	6369	4.606611085086982e-87
44	6376	6.527590569350544e-90
45	6363	7.697041118600924e-93
46	6368	2.0823417375260165e-95
47	6373	9.221597342443778e-98
48	10344	2.7220060743772597e-100
49	6346	9.917512886771415e-103
50	58191	2.668702319300401e-105
51	2826	1.517974100988134e-107
52	2833	1.9588794987590673e-110
53	5196	6.514970196409984e-112
54	6387	8.579245232061217e-115
55	1237	9.353168579259377e-118
56	2829	9.37068999597721e-121
57	1233	2.4625602435119213e-123
58	643	2.3141897686751573e-126
59	10663	2.0694893922663693e-129
60	1232	5.271607793785987e-132
61	1236	1.3406935699192434e-134
