#rank	DIAMOnD_node	p_hyper
1	GS1132	1.5170958642495527e-44
2	2771	1.0338141299733565e-25
3	2770	2.013007809121896e-27
4	2773	3.324940568639192e-29
5	2792	1.3078837881994237e-28
6	94235	5.801708902950873e-29
7	2790	3.555217732506646e-31
8	10681	2.0868111825033718e-33
9	2786	9.952129878222144e-36
10	2793	4.4893956477502596e-38
11	2791	1.920540160043665e-40
12	2784	1.1605548995230737e-42
13	2785	4.5908182177550995e-45
14	54331	2.1515742021454618e-47
15	2787	7.850563238617529e-50
16	59345	8.697972029112604e-52
17	2783	6.170916693607393e-54
18	55970	2.6600883308047562e-55
19	2775	3.773027498851279e-57
20	1129	1.1639410943795697e-51
21	9568	1.4410255076956195e-52
22	2550	3.896380015386065e-54
23	3350	6.223073597167712e-57
24	3355	4.132587915672043e-59
25	3352	6.345868019206928e-62
26	3354	4.324108851787923e-64
27	3361	4.6805444367660605e-60
28	2782	4.6323770496301396e-61
29	2788	3.5052557774010385e-61
30	51764	4.699766259120533e-63
31	1132	2.4687422159502435e-60
32	51655	9.686363749505367e-59
33	3363	6.457720907515474e-58
34	2778	5.570445399476166e-60
35	2914	3.321454740464553e-60
36	2917	7.872225167807608e-63
37	2918	1.1044894226669132e-64
38	10672	2.7296413406668213e-66
39	5332	6.033422763251953e-60
40	5330	4.878237398071105e-62
41	5331	6.697521689152329e-64
42	23236	2.2399108655766266e-65
43	146850	6.0215842663022775e-58
44	23533	2.721021225700094e-60
45	3845	8.206936041585853e-59
46	4893	7.809152094623176e-59
47	5581	1.0856860839762967e-60
48	3265	1.207923299246133e-62
49	8503	7.765190666674516e-56
50	5296	1.8651800282415816e-57
51	5295	2.048365994836248e-59
52	57580	1.0715875793752712e-59
53	22808	1.6178380939422619e-59
54	6237	2.966907810745166e-60
55	22800	1.664842614206995e-62
56	2776	2.5867476586571155e-62
57	187	5.2263393470508015e-58
58	5335	7.555944924933743e-55
59	5336	4.073716319514308e-55
60	3765	1.5979192275629842e-54
61	3762	9.244450492396021e-58
62	3760	1.6744485769123682e-59
63	3763	3.1419280950813387e-62
64	6323	2.7206435311253576e-54
65	5599	1.9774417396559011e-53
66	5603	2.2795490576070486e-55
67	5602	3.6453630977192854e-57
68	6300	1.5307846841684195e-59
69	1432	8.2237087549947e-62
70	5600	1.0252369949445812e-63
71	5601	1.4920857031909049e-64
72	5595	1.2557906412033392e-62
73	5594	4.270422671316821e-64
74	117	2.731252876746529e-51
75	4543	4.559245344997488e-50
76	5923	1.4047218067595464e-49
77	5924	8.433500572254506e-52
78	774	7.655534088228945e-51
79	776	8.223734486955727e-53
80	773	4.43487694295014e-55
81	775	1.9632379401913568e-57
82	778	9.925005931548148e-54
83	779	7.224445838168994e-56
84	4544	1.2828961803081616e-47
85	814	2.5839421020598885e-45
86	2911	3.547053790589631e-44
87	1128	3.451568724161547e-45
88	5021	1.1020217883337617e-46
89	154	1.3581990325748405e-45
90	113	6.330587968609629e-44
91	108	4.70866099971239e-46
92	55811	2.6344068600442846e-48
93	114	1.4896272056838387e-50
94	109	1.665739994986114e-52
95	196883	8.712277630665952e-55
96	107	4.3821565620563835e-57
97	111	2.1217890469977036e-59
98	115	4.041035003073811e-61
99	112	2.541863948609622e-63
100	5580	2.0518361255528076e-58
101	5566	3.613208273338254e-56
102	10411	3.110057852937787e-57
103	5568	6.368221350102479e-58
104	5567	1.8913370974419991e-59
105	816	2.567015663635548e-59
106	815	4.045358691036039e-61
107	818	4.349218997714473e-63
108	817	1.8022350391790923e-63
109	163688	5.333221303667182e-64
110	51806	2.4941156468168507e-66
111	810	1.1487812564101363e-68
112	805	5.2154302597160555e-71
113	91860	1.4679378564202604e-73
