gene1	gene2	goIds1	goIds2
hsa:5313	hsa:4825	[]	['GO:0009887']
hsa:5313	hsa:3110	[]	[]
hsa:5313	hsa:168620	[]	[]
hsa:5313	hsa:3087	[]	['GO:0045736', 'GO:0006406', 'GO:0045892', 'GO:0000122', 'GO:0030154', 'GO:0010944', 'GO:0016973', 'GO:0034504', 'GO:0045944', 'GO:0071103', 'GO:0010621', 'GO:0045893', 'GO:0070663', 'GO:0090263']
hsa:5313	hsa:2645	[]	['GO:0051156', 'GO:0050796', 'GO:0045721', 'GO:0006007', 'GO:0045725', 'GO:0061621', 'GO:0032024', 'GO:0042593']
hsa:5313	hsa:3375	[]	['GO:0031333', 'GO:0043065', 'GO:0050850', 'GO:0010823', 'GO:0043950', 'GO:0007165', 'GO:0006915', 'GO:0010739', 'GO:1905907', 'GO:0007267']
hsa:5313	hsa:3172	[]	['GO:0045892', 'GO:0006357', 'GO:0042752', 'GO:0006591', 'GO:0045944', 'GO:0008285', 'GO:0030308', 'GO:0055088', 'GO:0019216', 'GO:0006805', 'GO:0045893', 'GO:0007596']
hsa:5313	hsa:6927	[]	['GO:0006357', 'GO:0046323', 'GO:0035623', 'GO:0060261', 'GO:0045893', 'GO:0042593', 'GO:0035565']
hsa:5313	hsa:4821	[]	['GO:0007420']
hsa:5313	hsa:3171	[]	['GO:0001678', 'GO:0045944']
hsa:5313	hsa:2494	[]	['GO:0045070', 'GO:0045944', 'GO:0006355', 'GO:0009792', 'GO:0045893']
