gene1	gene2	goIds1	goIds2
hsa:7298	hsa:10588	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0046655', 'GO:0046653', 'GO:0006536', 'GO:0035999', 'GO:0046657']
hsa:7298	hsa:275	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0006546', 'GO:0019464']
hsa:7298	hsa:4522	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0009086', 'GO:0009257', 'GO:0035999', 'GO:0006164', 'GO:0009070', 'GO:0006730']
hsa:7298	hsa:10797	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0046655', 'GO:0046653']
hsa:7298	hsa:25902	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0006760', 'GO:0015942', 'GO:0009257']
hsa:7298	hsa:6472	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0034340', 'GO:0002082', 'GO:0070536', 'GO:0046653', 'GO:0070129', 'GO:0006563', 'GO:0051289', 'GO:0006544', 'GO:0051262', 'GO:1903715', 'GO:0006730']
hsa:7298	hsa:441024	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0046655']
hsa:7298	hsa:4548	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0009086', 'GO:0007399', 'GO:0009235']
hsa:7298	hsa:1719	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0046653', 'GO:0046654', 'GO:0046452', 'GO:0006729', 'GO:0017148']
hsa:7298	hsa:471	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0006177', 'GO:0006139', 'GO:0097294', 'GO:0006189', 'GO:0044208']
hsa:7298	hsa:123263	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0071951']
hsa:7298	hsa:160428	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0009258', 'GO:0006740']
hsa:7298	hsa:200895	['GO:0006231', 'GO:0035999', 'GO:0071897', 'GO:0046683', 'GO:0017148']	['GO:0046655', 'GO:0046653', 'GO:0046105']
