gene1	gene2	goIds1	goIds2
hsa:54579	hsa:374875	[]	[]
hsa:54579	hsa:1646	[]	['GO:0006693', 'GO:0008284', 'GO:0007586', 'GO:0042448', 'GO:0044597', 'GO:0051897', 'GO:0044598', 'GO:0071395', 'GO:0030855', 'GO:0071799', 'GO:0007186', 'GO:0008202']
hsa:54579	hsa:54576	[]	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0009804', 'GO:0042573', 'GO:0052697', 'GO:0008202', 'GO:0045922', 'GO:0006631']
hsa:54579	hsa:10941	[]	['GO:0052695', 'GO:0008206', 'GO:0007606']
hsa:54579	hsa:1571	[]	['GO:0016098', 'GO:0042197', 'GO:0018885', 'GO:0001676', 'GO:0002933', 'GO:0018960', 'GO:0042759', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0018910']
hsa:54579	hsa:3290	[]	[]
hsa:54579	hsa:54659	[]	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']
hsa:54579	hsa:574537	[]	['GO:0052695', 'GO:0008206']
hsa:54579	hsa:1585	[]	['GO:0003091', 'GO:0032870', 'GO:0002017', 'GO:0006705', 'GO:0006700', 'GO:0016125', 'GO:0035865', 'GO:0055075', 'GO:0055078', 'GO:0034651', 'GO:0032342']
hsa:54579	hsa:54658	[]	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']
hsa:54579	hsa:54575	[]	['GO:0051552', 'GO:0052695', 'GO:0006805']
hsa:54579	hsa:6718	[]	['GO:0007586', 'GO:0008209', 'GO:0008207', 'GO:0006699', 'GO:0006707']
hsa:54579	hsa:7923	[]	['GO:0051290', 'GO:0006703', 'GO:0006633']
hsa:54579	hsa:3294	[]	['GO:0008209', 'GO:0006703', 'GO:0032526']
hsa:54579	hsa:220074	[]	['GO:0042420']
