gene1	gene2	goIds1	goIds2
hsa:9156	hsa:5982	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:1900264', 'GO:0006261']
hsa:9156	hsa:2956	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0045910', 'GO:0006281', 'GO:0051096', 'GO:0043570', 'GO:0006298']
hsa:9156	hsa:4292	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0006298']
hsa:9156	hsa:6117	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0006289', 'GO:0000724', 'GO:0006310', 'GO:0006261', 'GO:0006281', 'GO:0000723', 'GO:0006974', 'GO:0034502', 'GO:1990166', 'GO:0006284', 'GO:0006298', 'GO:0006260']
hsa:9156	hsa:10714	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0071897', 'GO:0042276', 'GO:0006297', 'GO:0006261']
hsa:9156	hsa:5984	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:1900264', 'GO:0006261', 'GO:0006271']
hsa:9156	hsa:5424	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0070987', 'GO:0034644', 'GO:0006261', 'GO:0006281', 'GO:0000731', 'GO:0009411', 'GO:0006297', 'GO:0071897', 'GO:0006287', 'GO:0006260', 'GO:0055089']
hsa:9156	hsa:5983	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0006261', 'GO:0000731', 'GO:0006271', 'GO:1900264', 'GO:0006260', 'GO:0046683']
hsa:9156	hsa:5425	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0006260', 'GO:0042276', 'GO:0071897', 'GO:0006261']
hsa:9156	hsa:5111	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0045739', 'GO:0034644', 'GO:0045740', 'GO:1900264', 'GO:0030855', 'GO:0006298', 'GO:0032077', 'GO:0019985']
hsa:9156	hsa:57804	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0006261']
hsa:9156	hsa:5985	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:1900264', 'GO:0006261']
hsa:9156	hsa:4437	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0045910', 'GO:0006281', 'GO:0051096', 'GO:0043570', 'GO:0006298']
hsa:9156	hsa:3978	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0009653', 'GO:0006281', 'GO:0006284', 'GO:0006287', 'GO:0006298', 'GO:0033151', 'GO:0006266']
hsa:9156	hsa:29935	['GO:0006310', 'GO:0090656', 'GO:0006281', 'GO:0006298']	['GO:0006289', 'GO:0000077', 'GO:0006281', 'GO:0006270', 'GO:0033260']
