gene1	gene2	goIds1	goIds2
hsa:2960	hsa:9519	['GO:0006367', 'GO:0006366']	['GO:0006366']
hsa:2960	hsa:2068	['GO:0006367', 'GO:0006366']	['GO:0006289', 'GO:1901990', 'GO:0006283', 'GO:0006979', 'GO:0007059', 'GO:0006915', 'GO:0035315', 'GO:0006366']
hsa:2960	hsa:6878	['GO:0006367', 'GO:0006366']	['GO:0006357', 'GO:0045786', 'GO:0060261', 'GO:0042789', 'GO:0006367', 'GO:0006282', 'GO:0045893', 'GO:0051123', 'GO:0006352']
hsa:2960	hsa:2966	['GO:0006367', 'GO:0006366']	['GO:1905776', 'GO:0009411', 'GO:0006367', 'GO:0002031', 'GO:0006366']
hsa:2960	hsa:6875	['GO:0006367', 'GO:0006366']	['GO:0042789', 'GO:0051123', 'GO:0060261']
hsa:2960	hsa:54457	['GO:0006367', 'GO:0006366']	['GO:0008150']
hsa:2960	hsa:83860	['GO:0006367', 'GO:0006366']	['GO:0051457', 'GO:0000122', 'GO:0043433', 'GO:0060261', 'GO:0042789', 'GO:0051123']
hsa:2960	hsa:6882	['GO:0006367', 'GO:0006366']	['GO:0060261', 'GO:0043923', 'GO:0042789', 'GO:0006367', 'GO:0051123', 'GO:0006366']
hsa:2960	hsa:9569	['GO:0006367', 'GO:0006366']	['GO:0000122']
hsa:2960	hsa:387332	['GO:0006367', 'GO:0006366']	[]
hsa:2960	hsa:2963	['GO:0006367', 'GO:0006366']	['GO:0045944', 'GO:0006367', 'GO:0006368', 'GO:0006366']
hsa:2960	hsa:27097	['GO:0006367', 'GO:0006366']	['GO:0006357', 'GO:0043484', 'GO:0006355', 'GO:0006282', 'GO:0045893', 'GO:0006366']
hsa:2960	hsa:2967	['GO:0006367', 'GO:0006366']	['GO:0006281', 'GO:0006366']
hsa:2960	hsa:129685	['GO:0006367', 'GO:0006366']	['GO:0051457', 'GO:0060261', 'GO:0042789', 'GO:0001112', 'GO:0045598', 'GO:0051123']
hsa:2960	hsa:404672	['GO:0006367', 'GO:0006366']	['GO:0006289']
