#rank	DIAMOnD_node	p_hyper
1	8864	1.5387134228339266e-06
2	5187	5.774533324630692e-09
3	102800317	3.214926130543259e-08
4	1453	1.4263180275209537e-08
5	1456	1.7086810222225905e-05
6	53944	1.774819818840412e-07
7	1455	2.110571256818515e-09
8	122011	3.660614986704937e-11
9	1452	2.335932221145247e-13
10	6608	1.9969708210123015e-13
11	8313	1.9794532680520237e-07
12	8312	2.445965287590698e-09
13	5566	3.1889576648160464e-06
14	5568	3.6488156759501854e-06
15	5567	8.36285638924858e-07
16	2904	8.483639330916061e-08
17	116444	1.4867112842266475e-09
18	116443	1.942774002109435e-11
19	2905	3.07862866408693e-12
20	2906	6.705325456795551e-14
21	2902	1.6920704103175513e-15
22	2893	1.916724539587513e-17
23	2892	4.366201880672874e-19
24	2903	2.811697036816035e-20
25	2891	2.3920986994409897e-22
26	2901	2.3014712958873708e-21
27	2894	7.26032328717434e-24
28	2899	1.7905756634656206e-26
29	2900	3.3330943826169286e-29
30	2895	2.634418611130703e-31
31	2898	2.0924359479753548e-33
32	2897	2.519533265375738e-36
33	5578	1.549017814456732e-08
34	5582	3.791592309178342e-09
35	776	2.4457929544987066e-10
36	775	1.8050954066744664e-11
37	5579	3.832145243019971e-12
38	7849	9.173292821899246e-13
39	7270	3.969168527544751e-12
40	9368	1.994306684107115e-11
41	7430	7.263048313604295e-13
42	6548	8.080765861926989e-12
43	59341	4.07319746848822e-11
44	56302	9.632762906249863e-11
45	8458	1.0989857263146148e-09
46	cpd:C00076	2.3005062775565477e-09
47	3710	1.419779093191303e-10
48	3708	1.7843425262552687e-11
49	3709	2.5863159008630106e-12
50	91860	8.917243117401649e-12
51	163688	4.55889101319003e-13
52	805	2.547676478236288e-14
53	810	1.1411271910538191e-15
54	51806	5.777332032541946e-17
55	801	2.305907109807851e-18
56	808	1.0735423226255508e-19
57	8911	3.1032695302875275e-21
58	8912	5.888155163107147e-23
59	8913	1.0353810290776608e-24
60	5923	1.9120604531323825e-17
61	5924	7.545873096685567e-19
62	6263	1.2437895454611562e-16
63	6261	5.570492214576596e-18
64	6262	4.866348238706596e-19
65	5501	1.8655941881677173e-17
66	5499	1.4704508980609011e-18
67	5500	1.1577700091165993e-19
68	816	1.5289128643957654e-19
69	818	5.4663617221170104e-21
70	817	1.8457823977239253e-22
71	815	1.0355464896613907e-23
72	779	1.7131211344294748e-22
73	778	8.090880367875956e-24
74	9254	8.353567578210444e-24
75	786	1.8310460478341247e-25
76	27091	3.759096410370382e-27
77	10368	7.238815161267527e-29
78	10369	1.3091573629775775e-30
79	782	2.22589282358415e-32
80	783	3.560960516471907e-34
81	59283	5.36369231278152e-36
82	784	7.610322206598081e-38
83	59285	1.0174715392914014e-39
84	59284	1.2820066569603833e-41
85	781	1.522328498007502e-43
86	785	1.7033772028858e-45
87	93589	1.7954129633842404e-47
88	27092	1.781831578552107e-49
89	55799	1.663963980139895e-51
90	777	1.1328740804896303e-44
91	773	7.084181130560958e-45
92	25780	1.1059873317336895e-42
93	115727	3.6412763899969304e-43
94	774	3.959131010642781e-44
95	10235	3.4573033544322203e-43
96	10125	2.995084857548227e-43
97	5519	1.1964460111005926e-29
98	5518	2.6115782591918695e-30
99	5527	4.940439576731545e-32
100	5523	6.266314232820991e-34
101	5526	7.338478005319001e-36
102	55012	7.929207592636702e-38
103	5529	7.896113618673617e-40
104	5525	1.8291618979658528e-41
105	28227	1.6303945296456821e-43
106	5528	9.638757024649071e-45
107	5515	6.37115034650797e-46
108	55844	1.3217193404879465e-47
109	5521	1.1245945448846562e-49
110	5522	8.860740788006762e-52
111	5516	4.262252851855987e-53
112	5520	4.287947940222447e-55
113	5502	1.69219663078584e-38
114	7137	4.630156529677026e-29
115	23293	5.888694725930161e-29
116	23381	5.851040534720894e-28
117	23049	6.538134360913328e-28
118	5021	1.0896935274029204e-21
119	10000	1.210857310615487e-18
120	208	1.004752210393289e-19
121	596	6.95382790254527e-21
122	207	9.730534192810897e-22
123	4846	8.309515083056614e-19
124	8536	3.4101089305951326e-19
125	57118	1.7242086810649126e-21
126	57172	6.11112279033909e-24
127	90673	1.6667932739224462e-17
128	5507	2.3912437332165252e-19
129	5506	2.95406506265662e-21
130	89801	3.130155779128886e-23
131	79660	2.827262140141359e-25
132	5509	6.910741574302386e-27
133	5260	5.218257681949017e-24
134	5255	3.733600052714137e-26
135	5256	2.175822217413193e-28
136	5261	1.0071561210302724e-30
137	5257	1.038188514284495e-31
138	4843	6.461831459997889e-16
139	814	4.342249051370472e-15
140	112	8.11410231050019e-15
141	114	6.683975524802966e-16
142	113	4.1900261234065456e-17
143	108	2.480315753029907e-18
144	107	1.3891986281199394e-19
145	115	7.374975515544688e-21
146	196883	3.7169846333880506e-22
147	109	2.438697011893093e-23
148	111	2.1567691507210253e-24
149	5140	5.577564436853515e-17
150	2786	9.006543711556644e-16
151	59345	7.0390288982486e-17
152	2787	5.2339886521463134e-18
153	94235	3.70897832729145e-19
154	2793	2.5086959516152288e-20
155	54331	1.6219097349754891e-21
156	10681	1.0035780703528126e-22
157	2785	5.9502599414756854e-24
