#rank	DIAMOnD_node	p_hyper
1	6263	1.8865890738665633e-05
2	6261	3.975722515207952e-07
3	6262	9.97792302374575e-07
4	4842	1.6352843579549377e-07
5	91860	2.211986409821492e-07
6	163688	1.132629240926969e-08
7	810	5.762298472197588e-10
8	1258	1.4220563292503127e-11
9	1262	6.564770876729094e-14
10	1260	2.252249290842862e-16
11	1259	5.598060095721776e-19
12	51806	4.024462768510254e-17
13	4843	3.3711521969576945e-13
14	4846	2.0238060410309368e-13
15	57172	1.2230357616876542e-14
16	8536	6.633863377643498e-17
17	57118	2.881675676964451e-19
18	818	1.971822421984676e-15
19	817	6.222138119583791e-17
20	816	1.8352804557112226e-18
21	815	7.701113066765575e-20
22	814	2.3900184433448347e-20
23	10645	2.0671474538251058e-13
24	5336	3.386782915051345e-13
25	5335	4.264119718057523e-13
26	3710	9.299056680535203e-15
27	3708	1.2117994274481752e-15
28	3709	1.044693637461427e-16
29	5332	1.2531363688095467e-15
30	5331	8.532603829332157e-17
31	5330	6.18082901265191e-18
32	23236	3.890728856673361e-19
33	5535	8.290763985659434e-21
34	5534	7.530535464520751e-23
35	5533	4.342207255113441e-24
36	5532	3.7620470682082504e-26
37	5530	5.9934886372368325e-28
38	cpd:C00076	3.0561920052354166e-16
39	776	5.04871773915251e-16
40	775	3.2801783124132096e-17
41	5501	2.506638078678881e-14
42	5499	1.8705362619490577e-15
43	5500	1.3850448565274435e-16
44	2903	1.2210973651741462e-17
45	2904	7.361218107493884e-19
46	2906	1.7998207441558725e-16
47	2905	4.173765683637788e-18
48	2902	1.2696636900468339e-19
49	8912	3.735869629708603e-21
50	8913	7.16527841023104e-23
51	8911	1.2734658576016287e-24
52	2915	1.9547566977228962e-19
53	2911	2.745001157748591e-20
54	2891	2.043244820521295e-17
55	2890	4.725528792253718e-19
56	5582	5.380746463949007e-16
57	5579	2.630888486825335e-16
58	5578	3.295924338631814e-17
59	779	1.3753354253949296e-15
60	778	8.082047581173675e-17
61	55799	6.606400846761699e-16
62	9254	2.096079237747751e-17
63	59284	6.152917008583923e-19
64	59285	1.6764535798281397e-20
65	786	4.251526769612075e-22
66	782	1.0059488419011857e-23
67	59283	2.2252120003149e-25
68	27091	4.609875239301397e-27
69	783	8.957208428898832e-29
70	10368	1.6344174069264316e-30
71	10369	2.803549936165048e-32
72	781	4.52451095428021e-34
73	784	6.874432052903142e-36
74	27092	9.838141178366883e-38
75	785	1.3265950693695227e-39
76	93589	1.685706852439814e-41
77	5923	1.0661211125491199e-41
78	5924	2.7671942102446153e-43
79	777	7.100862980028675e-45
80	773	4.038227560385574e-45
81	115727	4.656733008955389e-41
82	25780	8.636853313157714e-43
83	774	2.3369240970930183e-44
84	10125	1.4128958380902788e-43
85	10235	1.553815023890798e-45
86	5519	8.057364971541745e-30
87	5518	1.7336920863184317e-30
88	5527	3.3994099465291044e-32
89	5529	4.247035913735077e-34
90	5526	4.899627173970676e-36
91	5523	5.215751762957021e-38
92	55012	5.117723029611889e-40
93	5525	1.1684859261659494e-41
94	28227	1.0264336773982355e-43
95	5528	5.983331771815538e-45
96	5515	3.702253012098535e-46
97	5522	7.977635017450205e-48
98	5521	6.692244475966359e-50
99	55844	5.199106250411543e-52
100	5516	2.341116588475493e-53
101	5520	2.4477731386157163e-55
102	5502	6.365087909282329e-44
103	23293	4.189247791555409e-29
104	23049	4.173694209885202e-28
105	23381	4.674889321766571e-28
106	7137	8.887945340111278e-25
107	5021	7.970213819376595e-22
108	10000	8.931531729301326e-19
109	208	7.315936419977134e-20
110	207	1.0663217171669042e-20
111	596	1.6013215177327131e-19
112	5507	1.007622673915874e-17
113	5506	1.3916127214150488e-19
114	90673	1.6553497065641173e-21
115	89801	1.6893013858154447e-23
116	79660	1.4698548902086897e-25
117	5509	3.4637702034319886e-27
118	5255	2.846548034343328e-24
119	5260	1.963247535604038e-26
120	5256	1.103104468849193e-28
121	5261	4.924100767036859e-31
122	5257	4.9016697577319577e-32
123	5836	6.14487585644962e-14
124	5834	1.6299926168047124e-15
125	5837	1.1004409470501185e-16
126	4893	2.2553428471773164e-13
127	3265	2.8314884684515552e-14
128	3845	2.496088457838268e-15
129	59345	2.249212309570081e-16
130	54331	1.6429370906889176e-17
131	10681	1.1421545137797054e-18
132	2787	7.569689099013919e-20
133	2785	4.7901680774937125e-21
134	2786	2.8983783072903414e-22
135	2793	1.679001770881538e-23
136	2790	9.322933886528445e-25
137	94235	4.967422426019831e-26
138	2783	3.420168117979334e-27
139	2791	1.7036015142646385e-28
140	2784	2.09680702015829e-29
141	2792	2.5931186793690753e-30
142	55970	1.994557917151835e-30
143	5581	1.0589256156427996e-29
144	22808	4.583471320606631e-29
145	22800	8.622907321769813e-30
146	6237	2.4299164583119266e-30
147	112	8.832955682634237e-29
148	115	5.0430164092241e-30
149	113	1.8763627871827087e-31
150	114	6.68240292288994e-33
151	107	2.279361902407987e-34
152	196883	7.45082647812788e-36
153	108	2.3352005232897754e-37
154	109	1.1599461096199426e-38
155	111	9.448275483665896e-40
156	2773	1.9420468352295543e-35
157	2775	9.948890258377691e-37
158	2770	7.2140805945649e-38
159	2771	7.537151455202692e-39
160	1268	5.390166262527908e-41
161	5294	4.7678688436849995e-32
162	23533	4.017675773841038e-32
163	146850	5.613344186309418e-34
164	55811	1.8995178720661825e-28
165	1815	1.0520212693691178e-27
166	2788	2.553750655822003e-27
167	3760	1.1136361111618535e-28
168	3762	4.058492668239524e-29
169	3765	3.652656086470473e-31
170	3763	2.8087865732296226e-33
171	51764	4.533154921615159e-31
172	2782	1.009656206386786e-31
173	51655	8.181999655866044e-33
174	6323	1.1859862167400028e-32
175	4543	7.56142638772357e-32
176	4544	1.8472662926937578e-33
177	2917	3.204992296734333e-31
178	2914	6.829402159516323e-33
179	2918	1.3573813841602903e-34
180	2912	1.1979971384816647e-35
181	2913	4.939641447609801e-37
182	2778	1.3523159984263956e-35
183	10672	4.4043566209363494e-32
184	187	9.901370932967677e-31
185	1132	1.883012314704311e-29
186	9568	2.400174031950694e-29
187	1813	1.533696416029343e-28
188	5290	2.1153374955609693e-28
189	5291	1.1975146027672943e-28
190	5293	9.127990115946265e-30
191	57580	8.448404635703999e-30
192	8503	1.1229384893523944e-28
193	5296	9.438232239920873e-30
194	5595	1.1841092631389516e-27
195	5594	3.197006650513833e-28
196	5580	2.130112555070498e-29
197	5590	1.7444738606645754e-26
198	3355	2.212460281585731e-25
199	3350	7.278651914142616e-27
200	3352	2.2478236768440397e-28
201	3351	2.164212791749417e-29
202	3354	6.276168493314299e-31
203	3361	1.517835187124984e-32
204	1129	7.716068990032867e-30
205	3363	1.3095082391800095e-29
206	2776	1.0836833423390097e-23
207	5603	1.0920089423301447e-22
208	6300	7.720418118889073e-24
209	5600	9.60456025141906e-25
210	1432	8.763361700894671e-26
211	11069	1.9080216966672784e-24
212	10411	2.053826959487244e-25
213	5602	1.918181313439649e-26
214	5601	4.4273619618333324e-27
215	5599	1.8811674756174308e-27
216	27040	7.384125554562132e-22
217	5566	7.397622684396283e-21
218	5568	4.9059801935715756e-21
219	5241	2.0770289833633273e-22
220	5567	3.3428564683330032e-22
221	5894	2.6516501172809453e-21
222	5565	3.904961413489023e-21
223	5563	2.322273584917798e-22
224	53632	1.3140824815486743e-23
225	5571	7.081897875543047e-25
226	5562	3.6379652346490086e-26
227	51422	1.782688454838663e-27
228	5564	1.110592138970353e-27
229	2308	3.333206365380066e-25
230	2998	7.716943410664326e-24
231	2997	3.1180127912821806e-25
232	2309	1.8869178294426125e-20
233	7442	4.8671047933505555e-20
234	5170	2.2962389865802937e-19
235	51196	4.570515847277058e-18
236	5908	7.658502692461738e-18
237	5906	8.89455978022165e-19
238	5584	3.024074696384623e-20
239	2916	1.916858251853654e-17
240	1902	1.9913264776142547e-17
241	2359	2.2778495839458996e-17
242	2358	1.0418935343919901e-19
243	2357	1.1486017673215049e-20
244	23566	8.194245730068615e-17
245	57121	2.8702277305902245e-18
246	9170	1.729367234334457e-19
247	554	5.350423642252008e-20
248	2846	2.3388768743588606e-20
249	10161	4.131848979592857e-20
250	5737	4.2128784464803404e-20
