#rank	DIAMOnD_node	p_hyper
1	5879	5.1357891698915556e-05
2	8394	0.00014509050950384984
3	8395	8.081917846033182e-06
4	5880	1.1665367710968028e-06
5	382	1.198842245606926e-07
6	8826	1.190925954354727e-07
7	71	5.740729220933726e-07
8	7414	1.0378030872815476e-07
9	87	1.6740240770703626e-09
10	81	3.133641817768144e-11
11	5305	1.0688386113086345e-08
12	8396	3.337936604828556e-10
13	79837	9.224713258140209e-12
14	200576	3.451290757023207e-13
15	85477	1.4909692301051563e-15
16	2934	1.8508400060738948e-16
17	55529	5.082703511653885e-12
18	90809	7.4734090376481e-14
19	5728	3.096019346027366e-12
20	56623	1.302050315179666e-13
21	8867	2.659364660887684e-15
22	3633	4.908820395923977e-17
23	4952	8.236178824353785e-19
24	8871	1.822561386206264e-20
25	23007	7.94335864942849e-18
26	9651	1.088340962295367e-19
27	5293	9.55299602417176e-20
28	5291	4.8312506502512255e-21
29	5290	3.534971830551452e-22
30	5333	9.942779787260015e-24
31	89869	2.5060694337205836e-25
32	113026	6.004844986553315e-27
33	84812	2.4383016394312377e-28
34	51196	4.0591914372372215e-29
35	138429	3.740798899506943e-28
36	5294	7.776586847635223e-30
37	5336	6.921898514236794e-30
38	5335	2.812636334770868e-31
39	5332	4.595545567320883e-31
40	5331	2.031055682381719e-32
41	22876	3.394438228973282e-34
42	22908	2.5720113486667308e-36
43	23236	1.820805868003255e-36
44	5288	2.790657558407244e-38
45	5286	2.3319178303523633e-40
46	5287	3.9299159102078834e-42
47	5330	4.176552768628298e-42
48	5297	4.826989954801079e-44
49	55361	2.7162239347648043e-46
50	55300	1.3967948046853927e-48
51	5298	4.370692068500092e-49
52	5296	2.7095470834748297e-48
53	8503	8.926635071457995e-50
54	9108	1.891949767070144e-50
55	8898	8.292936367963547e-53
56	8776	3.2803684986194615e-55
57	9107	1.1639490218482914e-57
58	9110	1.5704424436024762e-59
59	64419	4.863264680830438e-62
60	55613	1.3296398627200472e-64
61	8897	3.1721912201903694e-67
62	4534	2.268744708967288e-68
63	10423	4.0762846324584205e-60
64	5289	1.4742582322198608e-56
65	3631	2.095626187973995e-38
66	8821	1.0805285213268958e-40
67	3612	3.433910075459744e-25
68	3613	1.720616234089675e-27
69	54928	2.665716433403123e-29
70	3628	1.541018031767039e-28
71	3632	7.195472251922563e-26
72	27124	6.930007633037937e-25
73	51763	1.1809278342342706e-26
74	80271	1.1555987928580379e-27
75	3706	4.139238945920959e-30
76	3707	6.153184792555641e-32
77	253430	4.3421924594576666e-33
78	9562	8.638382682391398e-27
79	9896	7.997735506716011e-24
80	3636	2.2930260892673513e-22
81	3635	1.4037616510998572e-23
82	2359	9.642704960404443e-22
83	2358	1.92929688165084e-24
84	2357	1.5319799272965007e-20
